BP Material / Service Master No.,Supplier Part No. / Reference,BP Short Description,BP Long Description,Supplier Description,Manufacturer Name,Manufacturer Part Number,UOM,Last Price,Description,Price Valid From,Price Valid to,Incoterms Key,2021 rates
36120257,36120257,"OIL,INDUST:TURBINE,TURBO-K,20L CAN","OIL:TURBINE,TURBO-K,20L CAN","CASTROL TURBO-K,CAN OF 20L",,,EA,180.31,"['OIL', 'INDUST:TURBINE', 'TURBO-K', '20L', 'CAN']",11/20/2017,10/13/2021,,254.89
36011260,223446_337,"OIL:INDUST,DURATEC L,125 CST AT 40 DEG C","OIL: INDUSTRIAL,DURATEC L,125 CST AT 40 DEG C,208 L DRUM,AMBER,FLASH POINT: 250 DEG C,POUR POINT: -18 DEG C,VISCOSITY INDEX: 97","DURATEC L,DRUM,208L",CASTROL,15274B,EA,718.7,"['OIL:INDUST', 'DURATEC', 'L', '125', 'CST', 'AT', '40', 'DEG', 'C']",11/20/2017,10/13/2021,,916.56
36011258,36006925,"OIL:INDUST,ALPHA SP 320,320 CST AT 40 DE","OIL: INDUSTRIAL,ALPHA SP 320,320 CST AT 40 DEG C,20 L PAIL,AMBER,DENSITY: 900 KG/M3 AT 15 DEG C,FLASH POINT: 220 DEG C,FORM: LIQUID,  POUR POINT: -9 DEG C,VISCOSITY INDEX: GREATER THAN 95","ALPHA SP 320,CAN OF 20L",CASTROL,1443AB,EA,67.04,"['OIL:INDUST', 'ALPHA', 'SP', '320', '320', 'CST', 'AT', '40', 'DE']",11/20/2017,10/13/2021,,104.26
36011256,223446_338,"COOLANT,ENGINE:ANTIFREEZE,208L DRUM","COOLANT,ENGINE: ANTIFREEZE,208L DRUM","RADICOOL SF PREMIX,DRUM OF 208L",CASTROL,1715/208,EA,962.55,"['COOLANT', 'ENGINE:ANTIFREEZE', '208L', 'DRUM']",11/20/2017,10/13/2021,,1042.51
36011249,36006917,"OIL:HIGHLY REFINED,HYD,MINERAL,BRAYCO HV","OIL: HIGHLY REFINED,HYDRAULIC,MINERAL,BRAYCO HV 15,14 CST AT 40 DEG C/5.4 CST AT 100 DEG C,20 L PAIL,RED,DENSITY: 0.865 G/ML AT 20 D  EG C/870 KG/M3 AT 15 DEG C,FLASH POINT: 100 DEG C,FORM: LIQUID,GREATER THAN 350 VISCOSITY,POUR POINT: -70 DEG C","AERO HF 585B,CAN OF 20L",CASTROL,15B3C7,EA,138.08,"['OIL:HIGHLY', 'REFINED', 'HYD', 'MINERAL', 'BRAYCO', 'HV']",11/20/2017,10/13/2021,,245
36011248,36006915,"OIL:INDUST,OXIDATION RESISTANT,PERFECTO","OIL: INDUSTRIAL,OXIDATION RESISTANT,PERFECTO XPG 32,32 SQMM/SECOND AT 40 DEG C,ISO VG 32,208 L DRUM,FLASH POINT: 222 DEG F,W/ ANTI-W  EAR/ANTI-STATIC ADDITIVE","PERFECTO XPG 32,DRUM OF 208L",CASTROL,155EF8,EA,971.66,"['OIL:INDUST', 'OXIDATION', 'RESISTANT', 'PERFECTO']",11/20/2017,10/13/2021,,1122.85
36011247,36006914,"OIL:INDUST,MINERAL,PERFECTO X 68,68 SQMM","OIL: INDUSTRIAL,MINERAL,PERFECTO X 68,68 SQMM/SECOND AT 40 DEG C/8.6 SQMM/SECOND AT 100 DEG C,20 L PAIL,LIGHT YELLOW,DENSITY: 881 KG  /M3 AT 15 DEG C,FLASH POINT: 228 DEG C,FORM: LIQUID,POUR POINT: -12 DEG C,VISCOSITY INDEX: 102","PERFECTO T68,CAN OF 20L",CASTROL,157A0B,EA,58.86,"['OIL:INDUST', 'MINERAL', 'PERFECTO', 'X', '68', '68', 'SQMM']",11/20/2017,10/13/2021,,105.27
36011245,36006912,"OIL:DI-ESTER BASED SYNTHETIC LUBE,INDUST","OIL: DI-ESTER BASED SYNTHETIC LUBE,INDUSTRIAL,AIRCOL SN 100,20 L,AMBER,FLASH POINT: 252 DEG C,POUR POINT: -39 DEG C,VISCOSITY RATING  : 0.96 KG/L AT 15 DEG C,VISCOSITY INDEX: 89,0.96 G/ML @ 15 DEG C RELATIVE DENSITY,10.3 CST @ 100 DEG C VISCOSITY","OIL:COMPRESSOR,CASTROL AIRCOL SN 100,CAN",CASTROL,149EFD,EA,230.66,"['OIL:DI-ESTER', 'BASED', 'SYNTHETIC', 'LUBE', 'INDUST']",11/20/2017,10/13/2021,,399.91
36011243,36006910,"OIL:EXTREME PRESSURE,INDUST,MINERAL,ALPH","OIL: EXTREME PRESSURE,INDUSTRIAL,MINERAL,ALPHA SP 220,18.7 SQMM/SECOND AT 100 DEG C/220 SQMM/SECOND AT 40 DEG C,ISO VG 220,5 GAL BUC  KET,AMBER,LIGHT BROWN,DENSITY: 890 KG/M3 AT 15 DEG C,FLASH POINT: 225 DEG C,FORM: LIQUID,POUR POINT: -15 DEG C,VISCOSITY INDEX: GRE A TER THAN 95","ALPHA SP 220,CAN OF 20L",CASTROL,1443AA,EA,67.04,"['OIL:EXTREME', 'PRESSURE', 'INDUST', 'MINERAL', 'ALPH']",11/20/2017,10/13/2021,,104.26
36011237,36006905,"OIL:CIRCULATING,MAGNA 2,10 SQMM/SECOND A","OIL: CIRCULATING,MAGNA 2,10 SQMM/SECOND AT 40 DEG C,20 L CAN","MAGNA 2,CAN OF 20L",CASTROL,15521F,EA,77.82,"['OIL:CIRCULATING', 'MAGNA', '2', '10', 'SQMM/SECOND', 'A']",11/20/2017,10/13/2021,,114.9
36011054,36011054,"GREASE:HIGH TEMPERATURE GREASE,18 KG,VIS","GREASE: HIGH TEMPERATURE GREASE,18 KG,VIS,NLGI 2","HIGH TEMPRATURE GREASE,CAN OF 18KG",CASTROL,1503AA,EA,121.69,"['GREASE:HIGH', 'TEMPERATURE', 'GREASE', '18', 'KG', 'VIS']",11/20/2017,10/13/2021,,178.43
36011009,36011009,"OIL:INDUST,SYNTHETIC,ALPHASYN T 220,220","OIL: INDUSTRIAL,SYNTHETIC,ALPHASYN T 220,220 SQMM/SECOND AT 40 DEG C,20 L CAN,YELLOW,DENSITY: 0.87 KG/LT AT 20 DEG C,FLASH POINT: 27  7 DEG C,POUR POINT: -42 DEG C,VISCOSITY INDEX: 135","ALPHASYN T220,CAN OF 20L",CASTROL,1574A5,EA,265.5,"['OIL:INDUST', 'SYNTHETIC', 'ALPHASYN', 'T', '220', '220']",11/20/2017,10/13/2021,,333.13
36010988,36010988,"OIL,INDUST:POLYALKYLENE GLYCOL,ALPHASYN","OIL,INDUSTRIAL: POLYALKYLENE GLYCOL,ALPHASYN PG 150,ISO 150,20L CAN,28SQ MM/S AT 100DEG C VISCOSITY,225 VISCOSITY,210DEG C FLASH POI  NT,LIGHT YELLOW,-39DEG C,1.05G/ML AT 15DEG C,GEARBOX/SYNTHETIC,150SQ MM/S AT 40DEG C","ALPHASYN PG 150,CAN OF 20L",CASTROL,153DA3,EA,291.6,"['OIL', 'INDUST:POLYALKYLENE', 'GLYCOL', 'ALPHASYN']",11/20/2017,10/13/2021,,374.5
36010987,223446_332,"OIL,INDUST:ENGINE,20L PAIL,5W30 VISCOSIT","OIL,INDUSTRIAL: ENGINE,20L PAIL,5W30 VISCOSITY,164 VISCOSITY INDEX VISCOSITY,257DEG C FLASH POINT,-42DEG C POUR POINT","ENGINE OIL,ELIXION LOW SAPS 5W30",CASTROL,159CAA,EA,268.2,"['OIL', 'INDUST:ENGINE', '20L', 'PAIL', '5W30', 'VISCOSIT']",11/20/2017,10/13/2021,,284.53
36010974,223446_301,"OIL:INDUST,MINERAL,AIRCOL PD 100,100 CST","OIL: INDUSTRIAL,MINERAL,AIRCOL PD 100,100 CST AT 40 DEG C/11.4 CST AT 100 DEG C,20 L PAIL,YELLOW,DENSITY: 0.875 KG/L AT 20 DEG C,FLA  SH POINT: 243 DEG C,POUR POINT -12 DEG C,VISCOSITY INDEX: 100","OIL,COMPRESSOR,CASTROL AIRCOL PD 100",CASTROL,15AB5B,EA,77.4,"['OIL:INDUST', 'MINERAL', 'AIRCOL', 'PD', '100', '100', 'CST']",11/20/2017,10/13/2021,,103.23
36010912,36006659,"COOLANT:ANTIFREEZE,208L PREMIXED DRUM","COOLANT: ANTIFREEZE,208L PREMIXED DRUM","RADICOOL SF PREMIX,DRUM OF 208L",CASTROL,,EA,962.55,"['COOLANT:ANTIFREEZE', '208L', 'PREMIXED', 'DRUM']",11/20/2017,10/13/2021,,1191.11
11189634,223446_244,"FLUID:CNTRL,1000L,IBC","FLUID:CONTROL,1000L,IBC,WATER-BASED SUBSEA PRODUCTION,TRANSAQUA HT2","FLUID:CONTROL,1000L,IBC,WATER-BASED SUBSEA PRODUCTION,TRANSAQUA HT2",CASTROL,148C70-1000L,EA,8890,"['FLUID:CNTRL', '1000L', 'IBC']",11/20/2017,10/13/2021,,9801.23
11185904,11185904,"OIL:ULTRA COOLANT,ISO VG 46,208 L DRUM,S","OIL: ULTRA COOLANT,ISO VG 46,208 L DRUM,SSR","LUBRICANT:ULTRA COOLANT,208L DRUM,SSR,ISO VG 46",INGERSOLL-RAND,39433743,EA,5781,"['OIL:ULTRA', 'COOLANT', 'ISO', 'VG', '46', '208', 'L', 'DRUM', 'S']",11/20/2017,10/13/2021,,6648
11168704,223446_242,"OIL,INDUST:SYNTHETIC ENGINE,1L,5000 5W40","OIL,INDUSTRIAL: SYNTHETIC ENGINE,1L,5000 5W40 VISCOSITY,174 VISCOSITY,210DEG C FLASH POINT,CLEAR,-45DEG C POUR PT","OIL,INDUSTRIAL: SYNTHETIC ENGINE,1L,5000 5W40 VISCOSITY,174 VISCOSITY,210DEG C FLASH POINT,CLEAR,-45DEG C POUR PT",CASTROL,EDGE 5W-40,EA,56,"['OIL', 'INDUST:SYNTHETIC', 'ENGINE', '1L', '5000', '5W40']",11/20/2017,10/13/2021,,-1
11158210,11158210,"OIL,INDUST:SYNTHETIC,AIRCOL SW 32,CAN,32","OIL,INDUSTRIAL:SYNTHETIC,AIRCOL SW 32,CAN,32SQ MM/SECOND AT 40DEG C VISCOSITY,233DEG C CLOSED FLASH POINT,-46DEG C POUR PT,0.977GRAM  /ML DENSITY AT 20DEG C,5.4SQ MM/SECOND AT 100DEG C","OIL,INDUSTRIAL:SYNTHETIC,AIRCOL SW 32,CAN,32SQ MM/SECOND AT 40DEG C VISCOSITY,233DEG C CLOSED FLASH POINT,-46DEG C POUR PT,0.977GRAM /ML DENSITY AT 20DEG C,5.4SQ MM/SECOND AT 100DEG C",BP,15086D,EA,488,"['OIL', 'INDUST:SYNTHETIC', 'AIRCOL', 'SW', '32', 'CAN', '32']",11/20/2017,10/13/2021,,547.54
11105663,11105663,"OIL,INDUST:COMPRSR,AIRCOL SW 170,4 X 5L","OIL,INDUSTRIAL: COMPRESSOR,AIRCOL SW 170,4 X 5L CAN,170MM2/SECOND AT 40DEG C VISCOSITY,235DEG C FLASH POINT,-27DEG C POUR PT,SYNTHET  IC POE BASED","OIL,INDUSTRIAL: COMPRESSOR,AIRCOL SW 170,4 X 5L CAN,170MM2/SECOND AT 40DEG C VISCOSITY,235DEG C FLASH POINT,-27DEG C POUR PT,SYNTHET  IC POE BASED",CASTROL,15086F,EA,488,"['OIL', 'INDUST:COMPRSR', 'AIRCOL', 'SW', '170', '4', 'X', '5L']",11/20/2017,10/13/2021,,497.81
11105659,223446_243,"GREASE,INDUST:GEN PUR,SPHEEROL EPL 1,12.","GREASE,INDUSTRIAL:GENERAL PURPOSE,SPHEEROL EPL 1,12.5KG BUCKET,NLGI 1,-20 TO 120DEG C,LITHIUM THICKENER,BROWN","GREASE,INDUSTRIAL:GENERAL PURPOSE,SPHEEROL EPL 1,12.5KG BUCKET,NLGI 1,-20 TO 120DEG C,LITHIUM THICKENER,BROWN",CASTROL,144CB0,EA,265,"['GREASE', 'INDUST:GEN', 'PUR', 'SPHEEROL', 'EPL', '1', '12.']",11/20/2017,10/13/2021,,308.99
11104694,11104694,"OIL,INDUST:CIRCULATING,MAGNA 150,208L DR","OIL,INDUSTRIAL: CIRCULATING,MAGNA 150,208L DRUM,150/14.5 CST @ 40/100DEG C VISCOSITY,97 VISCOSITY,255DEG C FLASH POINT,-18DEG C","OIL,INDUSTRIAL: CIRCULATING,MAGNA 150,208L DRUM,150/14.5 CST (A) 40/100DEG C VISCOSITY,97 VISCOSITY,255DEG C FLASH POINT,-18DEG C",CASTROL,14E65D,EA,1936,"['OIL', 'INDUST:CIRCULATING', 'MAGNA', '150', '208L', 'DR']",11/20/2017,10/13/2021,,2321.26
11077227,11077227,"OIL:ANTI-WEAR,HYD,HYSPIN AWS 22,22 CST A","OIL: ANTI-WEAR,HYDRAULIC,HYSPIN AWS 22,22 CST AT 40 DEG C,208 L,AMBER,FLASH POINT: 170 DEG C,POUR POINT: -30 DEG C,VISCOSITY INDEX:1  02","OIL,INDUSTRIAL:HYDRAULIC,HYSPIN AWS 22,55GAL,22CST AT 40DEG C,102,170DEG C,AMBER,-30DEG C",CASTROL,1514F8,EA,185,"['OIL:ANTI-WEAR', 'HYD', 'HYSPIN', 'AWS', '22', '22', 'CST', 'A']",11/20/2017,10/13/2021,,221.82
11052851,223446_26,"OIL:EXTREME PRESSURE,INDUST,MINERAL,ALPH","OIL: EXTREME PRESSURE,INDUSTRIAL,MINERAL,ALPHA SP 220,18.7 SQMM/SECOND AT 100 DEG C/220 SQMM/SECOND AT 40 DEG C,ISO VG 220,5 GAL BUC  KET,AMBER,LIGHT BROWN,DENSITY: 890 KG/M3 AT 15 DEG C,FLASH POINT: 225 DEG C,FORM: LIQUID,POUR POINT: -15 DEG C,VISCOSITY INDEX: GRE A TER THAN 95","ALPHA SP 220,CAN OF 20L",CASTROL,1443AA,EA,67.04,"['OIL:EXTREME', 'PRESSURE', 'INDUST', 'MINERAL', 'ALPH']",11/20/2017,10/13/2021,,104.26
11051839,ITEM_3,"OIL:INDUST,CRB MULTI 15W-40 CI-4/E7,106.","OIL: INDUSTRIAL,CRB MULTI 15W-40 CI-4/E7,106.4 CST AT 40 DEG C/14.4 CST AT 100 DEG C,15W40,208 L,LIGHT AMBER,DENSITY: 0.88 G/ML AT 1  5 DEG C,FLASH POINT: 224 DEG C,FORM: LIQUID,POUR POINT: -42 DEG C,VISCOSITY INDEX: 139","VECTON/CRB MULTI 15W40,DRUM OF208L",CASTROL,15BA1D,EA,735.37,"['OIL:INDUST', 'CRB', 'MULTI', '15W-40', 'CI-4/E7', '106.']",11/20/2017,10/13/2021,,971.36
11048134,11048134,"OIL,INDUST:HYD,HYSPIN AWH-M 46,20L PAIL","OIL,INDUSTRIAL: HYDRAULIC,HYSPIN AWH-M 46,20L PAIL,46CST AT 40DEG C VISCOSITY,150 VISCOSITY,220DEG C FLASH POINT,AMBER,-42DEG C","HYSPIN AWH-M 46,CAN OF 20L",CASTROL,6155/20,EA,75,"['OIL', 'INDUST:HYD', 'HYSPIN', 'AWH-M', '46', '20L', 'PAIL']",11/20/2017,10/13/2021,,103.67
10871799,10871799,"OIL,INDUST:CIRCULATING,MAGNA 150,20L PAI","OIL,INDUSTRIAL: CIRCULATING,MAGNA 150,20L PAIL,14.5MM2/S AT 100DEG C, 709-866CST AT 38DEG C, 150MM2/S AT 40DEG C VISCOSITY,97 VISCOS  ITY,149DEG C FLASH POINT,AMBER,-18DEG C,BULK DENSITY: 7.67LBS/GAL, SPECIFIC GRAVITY: 0.91 AT 16DEG C,LIQUID","OIL,INDUSTRIAL: CIRCULATING,MAGNA 150,20L PAIL,14.5MM2/S AT 100DEG C, 709-866CST AT 38DEG C, 150MM2/S AT 40DEG C VISCOSITY,97 VISCOS  ITY,149DEG C FLASH POINT,AMBER,-18DEG C,BULK DENSITY: 7.67LBS/GAL, SPECIFIC GRAVITY: 0.91 AT 16DEG C,LIQUID",CASTROL,6214/20,EA,215,"['OIL', 'INDUST:CIRCULATING', 'MAGNA', '150', '20L', 'PAI']",11/20/2017,10/13/2021,,253.1
10151885,36006888,"OIL,INDUST:GEAR,ALPHASYN T 32,20L DRUM,3","OIL,INDUSTRIAL: GEAR,ALPHASYN T 32,20L DRUM,32MM2/S AT 40DEG C VISCOSITY120 VISCOSITY,210DEG C FLASH POINT,YELLOW,-57DEG C","ALPHASYN T32,CAN OF 20L",CASTROL,3123/20,EA,254.52,"['OIL', 'INDUST:GEAR', 'ALPHASYN', 'T', '32', '20L', 'DRUM', '3']",11/20/2017,10/13/2021,,332.96
,223446_261,"BP VISCO 7000 0W 40,CAN OF 4L","BP VISCO 7000 0W 40,CAN OF 4L","OIL,ENGINE,BP VISCO 7000 0W 40,CAN",BP,,EA,33.3,"['BP', 'VISCO', '7000', '0W', '40', 'CAN', 'OF', '4L']",11/20/2017,10/13/2021,,-1
,223446_1,"RADICOOL,CAN OF 14L","BP ANTI-FREEZE,CAN OF 14L","RADICOOL,CAN OF 14L",CASTROL,,EA,74.54,"['RADICOOL', 'CAN', 'OF', '14L']",11/20/2017,10/13/2021,,95
,10170000,FERTILIZERS AND PLANT NUTRIENTS AND HERB,FERTILIZERS AND PLANT NUTRIENTS AND HERBICIDES,FERTILIZERS AND PLANT NUTRIENTS AND HERBICIDES,,,,0,"['FERTILIZERS', 'AND', 'PLANT', 'NUTRIENTS', 'AND', 'HERB']",11/20/2017,10/13/2021,,-1
,223446_336,FUCHS RENOLIN ETERNA 32 (205L),FUCHS RENOLIN ETERNA 32 (205L),FUCHS RENOLIN ETERNA 32 (205L),Fuchs,,EA,675,"['FUCHS', 'RENOLIN', 'ETERNA', '32', '(205L)']",11/20/2017,10/13/2021,,810
,223446_322,"DEGREASER,SUPER SAF-M,CAN OF 20L","DEGREASER,SUPER SAF-M,CAN OF 20L","DEGREASER,SUPER SAF-M,CAN OF 20L",PETROCHEM GROUP,SUPER SAF-M,EA,56.7,"['DEGREASER', 'SUPER', 'SAF-M', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,56.7
,223446_330,CASTROL ANTIFREEZE/RADICOOL DRUM OF 208L,CASTROL ANTIFREEZE/RADICOOL DRUM OF 208L,CASTROL ANTIFREEZE/RADICOOL DRUM OF 208L,BP/CASTROL,15558F,EA,763.38,"['CASTROL', 'ANTIFREEZE/RADICOOL', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,1042.51
,223446_97,"CASTROL PERFECTO T 100,DRUM OF 208L","CASTROL PERFECTO T 100,DRUM OF 208L","OIL,TURBINE,CASTROL PERFECTO T 100",CASTROL,1562FD,EA,571.94,"['CASTROL', 'PERFECTO', 'T', '100', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,863.38
,223446_118,"MACDERMID ERIFON HD 603 HP,DRUM OF 205L","MACDERMID ERIFON HD 603 HP,DRUM OF 205L","FLUID,MACDERMID ERIFON HD 603 HP",MACDERMID,1901C8,EA,2396.7,"['MACDERMID', 'ERIFON', 'HD', '603', 'HP', 'DRUM', 'OF', '205L']",11/20/2017,10/13/2021,,-1
,223446_61,"CASROL HYSPIN AWH-M 15,CAN OF 20L","CASROL HYSPIN AWH-M 15,CAN OF 20L","OIL,HYDRAULIC,HYSPIN,TYPE AWH-M 15",CASTROL,1558FD,EA,75.6,"['CASROL', 'HYSPIN', 'AWH-M', '15', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,98.37
,223446_60,"CASTROL HYSPIN AWH-M 15,DRUM OF 208L","CASTROL HYSPIN AWH-M 15,DRUM OF 208L","OIL,HYDRAULIC,HYSPIN,TYPE AWH-M 15",CASTROL,15590B,EA,593.22,"['CASTROL', 'HYSPIN', 'AWH-M', '15', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,845.03
,223446_76,"CASTROL MAGNA PG 100,DRUM OF 208L","CASTROL MAGNA PG 100,DRUM OF 208L","CASTROL MAGNA PG 100,DRUM OF 208L",CASTROL,158B12,EA,3690,"['CASTROL', 'MAGNA', 'PG', '100', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,3839.08
,223446_86,"CASTROL AIRCOL SN 100,CAN OF 20L","CASTROL AIRCOL SN 100,CAN OF 20L","OIL,COMPRESSOR,CASTROL AIRCOL SN 100",CASTROL,149EFD,EA,230.66,"['CASTROL', 'AIRCOL', 'SN', '100', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,399.91
,223446_104,"CASTROL MAGNA 10,DRUM OF 208L","CASTROL MAGNA 10,DRUM OF 208L","OIL,CIRCULATING,CASTROL MAGNA 10,D",CASTROL,1585B4,EA,625.5,"['CASTROL', 'MAGNA', '10', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,900.02
,223446_116,"CASTROL TRANSAQUA HT,DRUM OF 208L","CASTROL TRANSAQUA HT,DRUM OF 208L","OIL,HYDRAULIC,CASTROL TRANSAQUA HT",CASTROL,155DF1,EA,1090,"['CASTROL', 'TRANSAQUA', 'HT', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,2002.82
,223446_46,"CASTROL HYSPIN HVI 15,CAN OF 20L","CASTROL HYSPIN HVI 15,CAN OF 20L","OIL,HYDRAULIC,BP BARTRAN,TYPE HV 1",BP/CASTROL,153F2E,EA,62.1,"['CASTROL', 'HYSPIN', 'HVI', '15', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,90.8
,223446_55,"CASTROL HYSPIN HVI 68,CAN OF 20L","CASTROL HYSPIN HVI 68,CAN OF 20L","OIL,HYDRAULIC,BP BARTRAN,TYPE HV 6",BP/CASTROL,14FC71,EA,58.52,"['CASTROL', 'HYSPIN', 'HVI', '68', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,104.38
,223446_53,"CASTROL HYSPIN HVI 46,CAN OF 20L","CASTROL HYSPIN HVI 46,CAN OF 20L","OIL,HYDRAULIC,BP BARTRAN,TYPE HV 4",BP/CASTROL,14FC6C,EA,53.41,"['CASTROL', 'HYSPIN', 'HVI', '46', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,100.37
,223446_50,"CASTROL HYSPIN HVI 32,CAN OF 20L","CASTROL HYSPIN HVI 32,CAN OF 20L","OIL,HYDRAULIC,BP BARTRAN,TYPE HV 3",BP/CASTROL,14FBAD,EA,53.41,"['CASTROL', 'HYSPIN', 'HVI', '32', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,101.8
,223446_57,"CASTROL HYSPIN AWH-M 68,CAN OF 20L","CASTROL HYSPIN AWH-M 68,CAN OF 20L","OIL,HYDRAULIC,HYSPIN,TYPE AWH-M 68",CASTROL,1443B4,EA,76.5,"['CASTROL', 'HYSPIN', 'AWH-M', '68', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,103.67
,223446_56,"CASTROL HYSPIN HVI 100,DRUM OF 208L","CASTROL HYSPIN HVI 100,DRUM OF 208L","OIL,HYDRAULIC,BP BARTRAN,TYPE HV 1",CASTROL,14FAF1,EA,644.25,"['CASTROL', 'HYSPIN', 'HVI', '100', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,857.13
,223446_66,"CASTROL HYSPIN AWH-M 68,DRUM OF 208L","CASTROL HYSPIN AWH-M 68,DRUM OF 208L","OIL,HYDRAULIC,HYSPIN,TYPE AWH-M 68",CASTROL,14337B,EA,689.4,"['CASTROL', 'HYSPIN', 'AWH-M', '68', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,918.28
,223446_300,"CASTROL AIRCOL PG 185,DRUM OF 20L","CASTROL AIRCOL PG 185,DRUM OF 20L","CASTROL AIRCOL PG 185,DRUM OF 20L",CASTROL,1570AA,EA,289.79,"['CASTROL', 'AIRCOL', 'PG', '185', 'DRUM', 'OF', '20L']",11/20/2017,10/13/2021,,-1
,223446_304,"CASTROL ALPHA SP 150,CAN OF 20L","CASTROL ALPHA SP 150,CAN OF 20L","OIL,GEAR,CASTROL ALPHA SP 150,CAN",CASTROL,1443A9,EA,67.04,"['CASTROL', 'ALPHA', 'SP', '150', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,97.05
,223446_161,"CASTROL VECTON DD MONOGRADE 40,CAN OF 20","CASTROL VECTON DD MONOGRADE 40,CAN OF 20L","CASTROL VECTON DD MONOGRADE 40,CAN OF 20L",CASTROL,14BE3F,EA,82.17,"['CASTROL', 'VECTON', 'DD', 'MONOGRADE', '40', 'CAN', 'OF', '20']",11/20/2017,10/13/2021,,110
