BP Material / Service Master No.,Supplier Part No. / Reference,BP Short Description,BP Long Description,Supplier Description,Manufacturer Name,Manufacturer Part Number,UOM,Last Price,Description,Price Valid From,Price Valid to,Incoterms Key,2021 rates
,223446_171,"CASTROL DURATEC M,DRUM OF 208L","CASTROL DURATEC M,DRUM OF 208L","OIL,ENGINE,CASTROL DURATEC M,",CASTROL,14AAA8,EA,718.7,"['CASTROL', 'DURATEC', 'M', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,1005.95
,223446_27,"CASTROL ALPHA SP 220,DRUM OF 208L","CASTROL ALPHA SP 220,DRUM OF 208L","OIL,GEAR,CASTROL ALPHA SP 220",CASTROL,145B1A,EA,657.03,"['CASTROL', 'ALPHA', 'SP', '220', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,867.87
,223446_38,"CASTROL ALPHASYN PG 150,CAN OF 20L","CASTROL ALPHASYN PG 150,CAN OF 20L","OIL,GEAR,CASTROL ALPHASYN,TYPE PG-",CASTROL,153DA3,EA,291.6,"['CASTROL', 'ALPHASYN', 'PG', '150', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,374.5
,223446_32,"CASTROL ALPHASYN EP 150,CAN OF 20L","CASTROL ALPHASYN EP 150,CAN OF 20L","OIL:SYNTHETIC GEAR,ALPHASYN,EP 150,",CASTROL,15AD3A,EA,310.5,"['CASTROL', 'ALPHASYN', 'EP', '150', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,390.53
,223446_43,"CASTROL BIOBAR 32,DRUM OF 208L","CASTROL BIOBAR 32,DRUM OF 208L","OIL,HYDRAULIC,CASTROL BIOBAR 32",CASTROL,15662F,EA,1735.72,"['CASTROL', 'BIOBAR', '32', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,2409.66
,73000000,"CASTROL HYSPIN AWH-M 46,CAN OF 20L","CASTROL HYSPIN AWH-M 46,CAN OF 20L","CASTROL HYSPIN AWH-M 46,CAN OF 20L",CASTROL,1443B3,EA,79.2,"['CASTROL', 'HYSPIN', 'AWH-M', '46', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,103.67
,223446_335,"CASTROL SPHEEROL EPL 2,TUBE OF 400GR","CASTROL SPHEEROL EPL 2,TUBE OF 400GR","CASTROL SPHEEROL EPL 2,TUBE OF 400GR",CASTROL,14357D,EA,10.8,"['CASTROL', 'SPHEEROL', 'EPL', '2', 'TUBE', 'OF', '400GR']",11/20/2017,10/13/2021,,11.68
,223446_320,BP AUTRAN MBX/ATF DEX II CAN OF 17/20L,BP AUTRAN MBX/ATF DEX II CAN OF 17/20L,BP AUTRAN MBX/ATF DEX II CAN OF 17/20L,BP/CASTROL,154C8C,EA,77.26,"['BP', 'AUTRAN', 'MBX/ATF', 'DEX', 'II', 'CAN', 'OF', '17/20L']",11/20/2017,10/13/2021,,112.01
,223446_327,"CASTROL PERFECTO T68,DRUM OF 208L","CASTROL PERFECTO T68,DRUM OF 208L","OIL:TURBINE,CASTROL,PERFECTO T68",CASTROL,157A0D,EA,571.94,"['CASTROL', 'PERFECTO', 'T68', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,863.39
,223446_7,"CASTROL RADICOOL SF,DRUM OF 208L","CASTROL RADICOOL SF,DRUM OF 208L","CASTROL RADICOOL SF,DRUM OF 208L",BP/CASTROL,155B82,EA,1585,"['CASTROL', 'RADICOOL', 'SF', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,1865.55
,223446_96,"OIL,INDUSTRIAL:CASTROL PERFECTO T100","OIL,INDUSTRIAL:TURBINE,CASTROL PERFECTO T100,20L DRUM,96CST AT 40DEG C VISCOSITY,96,225DEG C FLASH POINT,-9DEG C,DENSITY: 0.880KG/LT   AT 20DEG C","PERFECTO T 100,CAN OF 20L",CASTROL,1562FA,EA,58.86,"['OIL', 'INDUSTRIAL:CASTROL', 'PERFECTO', 'T100']",11/20/2017,10/13/2021,,105.27
,223446_16,"OIL,AUTO:AGRI MP PLUS,CAN OF 20L","OIL,AUTOMOTIVE:ENGINE,AGRI MP PLUS,20L PAIL,SAE 10W-30,11CST AT 100DEG C VISCOSITY,200DEG C MIN FLASH PT,-36DEG C POUR PT,ACEA E4","AGRI MP PLUS,CAN OF 20L",CASTROL,14A96D,EA,82.8,"['OIL', 'AUTO:AGRI', 'MP', 'PLUS', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,105
,36006746,"HYSPIN HVI 32,DRUM OF 208L","OIL,INDUSTRIAL:0.87G/ML AT 15DEG C,MULTIGRADE,BARTRAN HV 32,LIQUID,208L DRUM,32CST AT 40DEG C VISCOSITY/8920CST AT -30DEG C VISCOSIT  Y/6.3CST AT 100DEG C VISCOSITY,GREATER THAN 150 VISCOSITY,200DEG C FLASH POINT,LIGHT YELLOW,-39DEG C","HYSPIN HVI 32,DRUM OF 208L",CASTROL,BARTRAN HV 32,EA,568.39,"['HYSPIN', 'HVI', '32', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,957.11
,36006729,"1516-100,DRUM OF 208L","OIL,INDUSTRIAL:COMPRESSOR,1G/ML AT 20DEG C,208L DRUM,100.6CST AT 40DEG C/18.6CST AT 100DEG C,223,260DEG C,-40DEG C","1516-100,DRUM OF 208L",CPI,CP-1516-100,EA,3690,"['1516-100', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,3839.08
,36006770,"SPHEEROL SX 2,TUBE OF 400GR","GREASE,INDUSTRIAL:MULTI PURPOSE,ENERGREASE MP-MG 2,400G TUBE,2,-20 TO 150DEG C,COMPLEX CALCIUM SULPHONATE THICKENER,PALE BROWN","SPHEEROL SX 2,TUBE OF 400GR",CASTROL,ENERGREASE,EA,6.61,"['SPHEEROL', 'SX', '2', 'TUBE', 'OF', '400GR']",11/20/2017,10/13/2021,,7.22
,36006920,"SPHEEROL EPL 2,CAN OF 18KG","LUBRICANT:EXTREME PRESSURE GREASE,SPHEEROL,LIQUID,LITHIUM,18KG CAN","SPHEEROL EPL 2,CAN OF 18KG",CASTROL,EPL2,EA,85.43,"['SPHEEROL', 'EPL', '2', 'CAN', 'OF', '18KG']",11/20/2017,10/13/2021,,149
,36006909,"AXLE EPX 80W90,CAN OF 20L","OIL:GEAR,CAN,20L","AXLE EPX 80W90,CAN OF 20L",CASTROL,EPX 80W-90,EA,70.69,"['AXLE', 'EPX', '80W90', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,-1
,36006753,"ERIFON CLS 40,DRUM OF 205L","FLUID:CONTROL,205L DRUM","ERIFON CLS 40,DRUM OF 205L",MACDERMID CANNING,ERIFON CLS 40,EA,1980,"['ERIFON', 'CLS', '40', 'DRUM', 'OF', '205L']",11/20/2017,10/13/2021,,2178
,36006917,"AERO HF 585B,CAN OF 20L","OIL,INDUSTRIAL:870KG/M3 AT 15DEG C,HYDRAULIC,LIQUID,AERO HF 585B,20L CAN,40MM2/S AT 40DEG C VISCOSITY/5.4MM2/S AT 100DEG C VISCOSITY  ,GREATER THAN 350 VISCOSITY,100DEG C FLASH POINT,RED,LESS THAN -70DEG C","AERO HF 585B,CAN OF 20L",CASTROL,HF585B,EA,138.08,"['AERO', 'HF', '585B', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,245
,36006747,"HYSPIN HVI 46,DRUM OF 208L","LUBRICANT,INDUSTRIAL:HYDRAULIC MINERAL,BARTRAN,8.22CST AT 100DEG C,222DEG C,208L DRUM","HYSPIN HVI 46,DRUM OF 208L",BP,HV 46,EA,653.66,"['HYSPIN', 'HVI', '46', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,870.68
,36006744,"OCEANIC HW443,DRUM OF 205L","FLUID:CONTROL,205L DRUM","OCEANIC HW443,DRUM OF 205L",MACDERMID CANNING,HW-443,EA,2344.5,"['OCEANIC', 'HW443', 'DRUM', 'OF', '205L']",11/20/2017,10/13/2021,,2578.95
,36006704,"HYSPIN AWH-M 46,DRUM OF 208L","OIL,INDUSTRIAL:MINERAL,HYSPIN AWH-M 46,208L DRUM,46CST AT 40DEG C/8.1CST AT 100DEG C,150,220DEG C,-36DEG C","HYSPIN AWH-M 46,DRUM OF 208L",CASTROL,6155/208,EA,792.81,"['HYSPIN', 'AWH-M', '46', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,1065.54
,36006848,"SEAL GUARD ECF,CAN OF 20KG","COMPOUND,SEALING:PREMIUM THREAD,SEAL-GUARD ECF,20KG PAIL","SEAL GUARD ECF,CAN OF 20KG",JET-LUBE,JA20915,EA,331,"['SEAL', 'GUARD', 'ECF', 'CAN', 'OF', '20KG']",11/20/2017,10/13/2021,,364.1
,36006673,"MAGNA 10,CAN OF 20L","OIL,INDUSTRIAL:HIGHLY REFINED STR MINERAL,870KG/M3 AT 15DEG C,MULTI PURPOSE,MAGNA 10,LIQUID,20L PAIL,10MM2/S AT 40DEG C VISCOSITY/2.  55MM2/S AT 100DEG C VISCOSITY,150DEG C FLASH POINT,AMBER,-33DEG C","MAGNA 10,CAN OF 20L",CASTROL,6203/20,EA,60.9,"['MAGNA', '10', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,149.54
,36006734,"PERFECTO T46,CAN OF 20L","OIL,INDUSTRIAL:TURBINE,PERFECTO T46,20L PAIL,46MM2/S AT 40DEG C,102,220DEG C,-12DEG C","PERFECTO T46,CAN OF 20L",CASTROL,2108/20,EA,58.86,"['PERFECTO', 'T46', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,93.81
,36006735,"PERFECTO T68,CAN OF 20L","OIL,INDUSTRIAL:COMPRESSOR,881KG/M3 AT 15DEG C,TURBINE,PERFECTO T68,LIQUID,20L PAIL,68MM2/S AT 40DEG C/8.6MM2/S AT 100DEG C,102,228DE  G C,-12DEG C","PERFECTO T68,CAN OF 20L",CASTROL,2111/20,EA,58.86,"['PERFECTO', 'T68', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,105.27
,36006737,"PERFECTO XPG 32,DRUM OF 208L","OIL,INDUSTRIAL:ANTI-WEAR/OXIDATION RESISTANT,PERFECTO XPG 32,264GAL TOTE,32MM2/S AT 40DEG C,112,222DEG C,YELLOW,-15DEG C,DRUM OF 208  L","PERFECTO XPG 32,DRUM OF 208L",CASTROL,2127/IBC,EA,971.66,"['PERFECTO', 'XPG', '32', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,1122.85
,36006904,"PERFECTO T 68,DRUM OF 208L","OIL:TURBINE,CASTROL,208L DRUM","PERFECTO T 68,DRUM OF 208L",CASTROL,T68,EA,571.94,"['PERFECTO', 'T', '68', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,863.39
,36006715,TECTION/VECTON MONOGRADE 30,"OIL,AUTOMOTIVE:ENGINE,LIQUID,AMBER,TECTION MONOGRADE 30,20L CAN,30,CF/CF-II/SF,98.6MM2/S AT 40DEG C,-24DEG C",TECTION/VECTON MONOGRADE 30,CASTROL,2235/20,EA,61.11,"['TECTION/VECTON', 'MONOGRADE', '30']",11/20/2017,10/13/2021,,110
,ITEM_1,"VECTON/CRB MULTI 15W40,1000L","OIL,AUTOMOTIVE:ENGINE,LIQUID,LIGHT AMBER,VECTON 15W40,1000L IBC,15W40,CI-4/SL,106.4CST AT 40DEG C/14.4CST AT 100DEG C,224DEG C,-42DE  G C","VECTON/CRB MULTI 15W40,1000L",CASTROL,2494/IBC,EA,3536.25,"['VECTON/CRB', 'MULTI', '15W40', '1000L']",11/20/2017,10/13/2021,,4855
,ITEM_3,"VECTON/CRB MULTI 15W40,DRUM OF208L","OIL,INDUSTRIAL:0.88G/ML AT 15DEG C,ENGINE,VECTON 15W40,LIQUID,208L,106.4CST AT 40DEG C/14.4CST AT 100DEG C,139,224DEG C,LIGHT AMBER,  -42DEG C","VECTON/CRB MULTI 15W40,DRUM OF208L",CASTROL,2494/208,EA,735.37,"['VECTON/CRB', 'MULTI', '15W40', 'DRUM', 'OF208L']",11/20/2017,10/13/2021,,971.35
,ITEM 4,"SEAL-GUARD NON ECF,20KG PAIL","GREASE:DOPE,SEAL-GUARD,20KG PAIL,-29 TO 260DEG C,NON ECF","SEAL-GUARD NON ECF,20KG PAIL",JET-LUBE,14417,EA,295,"['SEAL-GUARD', 'NON', 'ECF', '20KG', 'PAIL']",11/20/2017,10/13/2021,,324.5
,36011089,"HIGH TEMPRATURE GREASE,TUBE OF 400GR","GREASE,INDUSTRIAL:EXTREME PRESSURE/MULTI PURPOSE/PREMIUM,GADUS S3 V220C 2,400G TUBE,2,LITHIUM COMPLEX THICKENER,220CST AT 40DEC C VI  SCOSITY,RED","HIGH TEMPRATURE GREASE,TUBE OF 400GR",CASTROL,550028002,EA,3.6,"['HIGH', 'TEMPRATURE', 'GREASE', 'TUBE', 'OF', '400GR']",11/20/2017,10/13/2021,,5.77
,36011054,"HIGH TEMPRATURE GREASE,CAN OF 18KG","GREASE:HIGH TEMPERATURE,18KG BUCKET/PAIL","HIGH TEMPRATURE GREASE,CAN OF 18KG",CASTROL,1604/18,EA,121.69,"['HIGH', 'TEMPRATURE', 'GREASE', 'CAN', 'OF', '18KG']",11/20/2017,10/13/2021,,178.43
,36011029,"HYSPIN HVI 68,DRUM OF 208L","OIL,INDUSTRIAL:0.881KG/L AT 20DEG C,HIGH VISCOSITY/HYDRAULIC/MINERAL,BARTRAN HV 68,LIQUID,ISO 68,208L DRUM,68CST AT 40DEG C VISCOSIT  Y/10.67CST AT 100DEG C VISCOSITY,144 VISCOSITY,204DEG C FLASH POINT,BROWN,-30DEG C","HYSPIN HVI 68,DRUM OF 208L",CASTROL,HV 68,EA,568.4,"['HYSPIN', 'HVI', '68', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,943.71
,36010996,"ALPHA SP 320,DRUM OF 208L","OIL,INDUSTRIAL:GEAR/GEARBOX/MINERAL,ISO 320,208L DRUM","ALPHA SP 320,DRUM OF 208L",CASTROL,,EA,755.58,"['ALPHA', 'SP', '320', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,998.05
,10871780,"ALPHA SP 320,CAN OF 20L","OIL,INDUSTRIAL:GEAR/ANTI-WEAR,CASTROL ALPHA SP 320,20L CAN,318.26CST AT 40DEG C VISCOSITY,96,226DEG C FLASH POINT,VISCOSITY RATING: 318.26CST AT 40DEG C,23.68CST AT 100DEG C,SPECIFIC GRAVITY: 0.892 AT 15DEG C,EXTREME PRESSURE","ALPHA SP 320,CAN OF 20L",CASTROL,CASTROLALPHASP320,EA,67.04,"['ALPHA', 'SP', '320', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,104.2
,36006709,"CRESTA PG 220,DRUM OF 208L","LUBRICANT:COMPRESSOR,ALPHASYN PG 220,LIQUID,POLYALKYLENE GLYCOL,DRUM OF 208L","CRESTA PG 220,DRUM OF 208L",CASTROL,,EA,3690,"['CRESTA', 'PG', '220', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,3839.08
,11081785,"DIESEL,RESIST,VLV LUBR EZY TURN #4,18KG","SEALANT:GATE VALVE,EZY TURN 4,18KG CAN,PASTE,GREY/BLACK,-40 TO 500DEG F,INORGANIC THICKNER,415DEG F FLASH POINT","DIESEL,RESIST,VLV LUBR EZY TURN #4,18KG",JET-LUBE,92022,EA,727.2,"['DIESEL', 'RESIST', 'VLV', 'LUBR', 'EZY', 'TURN', '#4', '18KG']",11/20/2017,10/13/2021,,799.92
,36011024,"HYSPIN HVI 22,CAN OF 20L","OIL,INDUSTRIAL:HIGH VISCOSITY,0.88G/ML AT 15DEG C,HYDRAULIC/MINERAL,BARTRAN HV 22,LIQUID,ISO 22,20L CAN,22MM2/S AT 40DEG C VISCOSITY  /4.8MM2/S AT 100DEG C VISCOSITY,GREATER THAN 150 VISCOSITY,175DEG C FLASH POINT,AMBER,-48DEG C","HYSPIN HVI 22,CAN OF 20L",CASTROL,HV 22,EA,60.9,"['HYSPIN', 'HVI', '22', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,104.95
,36010993,"ALPHA SP 100,DRUM OF 208L","OIL,INDUSTRIAL:GEAR/MINERAL,ALPHA SP 100,LIQUID,208L DRUM,100CST AT 40DEG C,80,200DEG C,AMBER,-21DEG C","ALPHA SP 100,DRUM OF 208L",CASTROL,3182/208,EA,755.58,"['ALPHA', 'SP', '100', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,922.56
,36120257,"TURBO-K,CAN OF 20L","OIL:TURBINE,TURBO-K,20L CAN","TURBO-K,CAN OF 20L",CASTROL,,EA,180.31,"['TURBO-K', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,254.89
,36010933,"PERFECTO XEP 46,DRUM OF 208L","OIL,INDUSTRIAL:TURBINE,PERFECTO XEP 46,208L DRUM,46MM2/S AT 40DEG C/7.1MM2/S AT 100DEG C,112,234DEG C,LIGHT YELLOW,-15DEG C","PERFECTO XEP 46,DRUM OF 208L",CASTROL,2117/208,EA,715.5,"['PERFECTO', 'XEP', '46', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,1114.19
,36103500,"API MODIFIED,CAN OF 23KG","COMPOUND,SEALING:SEAL-GUARD ECF,23KG PAIL,API MODIFIED","API MODIFIED,CAN OF 23KG",JET-LUBE,JA22193,EA,426.6,"['API', 'MODIFIED', 'CAN', 'OF', '23KG']",11/20/2017,10/13/2021,,469.26
,11072569,"ALPHASYN T 150,CAN OF 20L","OIL,INDUSTRIAL:SYNTHETIC GEAR LUBRICANT,ALPHASYN T,20L CONTAINER,150 MM2/S AT 40DEG C VISCOSITY,131 VISCOSITY,230DEG C FLASH POINT,A  MBER,-42DEG C,ISO","ALPHASYN T 150,CAN OF 20L",CASTROL,ALPHASYN T150,EA,310.5,"['ALPHASYN', 'T', '150', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,357.6
,36011260,"DURATEC L,DRUM,208L","OIL:ENGINE,CASTROL DURATEC L,DRUM,208L","DURATEC L,DRUM,208L",CASTROL,452689,EA,718.7,"['DURATEC', 'L', 'DRUM', '208L']",11/20/2017,10/13/2021,,916.56
,36010987,VECTON FUEL SAVER 5W30 CAN OF20L,"OIL,INDUSTRIAL:ENGINE,20L PAIL,5W30 VISCOSITY,164 VISCOSITY INDEX,257DEG C FLASH POINT,-42DEG C POUR POINT",VECTON FUEL SAVER 5W30 CAN OF20L,CASTROL,14C9C4,EA,268.2,"['VECTON', 'FUEL', 'SAVER', '5W30', 'CAN', 'OF20L']",11/20/2017,10/13/2021,,284.53
,36010997,"ALPHA SP 68,CAN OF 20L","OIL,INDUSTRIAL:GEAR/MINERAL,ALPHA SP 68,20L PAIL,64-72CST AT 40DEG C,90,200DEG C,CLEAR,-21DEG C","ALPHA SP 68,CAN OF 20L",CASTROL,3181/20,EA,67.04,"['ALPHA', 'SP', '68', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,97.05
,11130268,"UNINHIBITED TRANSFORMER,DRUM OF 208L","OIL:UNINHIBITED TRANSFORMER,208L DRUM","UNINHIBITED TRANSFORMER,DRUM OF 208L",CASTROL,15137C,EA,788,"['UNINHIBITED', 'TRANSFORMER', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,927.63
,36006775,"SPHEEROL SX2,CAN OF 18KG","GREASE,INDUSTRIAL:MULTIPURPOSE,SPHEEROL SX 2,400GM CARTRIDGE,2,-20 TO 150DEG C,COMPLEX CALCIUM SULPHONATE,180CST AT 40DEC C,PALE BRO  WN","SPHEEROL SX2,CAN OF 18KG",CASTROL,9098/12X.4,EA,152.98,"['SPHEEROL', 'SX2', 'CAN', 'OF', '18KG']",11/20/2017,10/13/2021,,220.9
,36006720,"AIRCOL SR 46,CAN OF 20L","OIL,INDUSTRIAL:POLYALPHAOLEFIN BASED SYN LUBE,CASTROL AIRCOL SR 46,20L CAN,46 CST AT 40 DEG VISCOSITY VISCOSITY,137 VISCOSITY,264 DE  G C FLASH POINT FLASH POINT,AMBER,-54 DEG C,AIR COMPRESSOR","AIRCOL SR 46,CAN OF 20L",CASTROL,AIRCOL SR 46,EA,141.07,"['AIRCOL', 'SR', '46', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,212.5
,36006748,"BIOBAR 46,DRUM OF 208L","OIL,INDUSTRIAL:HYDRAULIC,208L DRUM,47.8 CST (A) 40 DEG C VISCOSITY VISCOSITY,146 VISCOSITY,232 DEG C FLASH POINT FLASH POINT,-45 DEG   C POUR POINT,8.2 CST (A) 100 DEG C,0.910 RELATIVE DENSITY","BIOBAR 46,DRUM OF 208L",CASTROL,BIOBAR 46,EA,1735.72,"['BIOBAR', '46', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,2363.71
,36006675,"PERFECTO T 46,DRUM OF 208L","OIL,INDUSTRIAL:TURBINE/MINERAL/HIGHLY REFINED,PERFECTO T46,208L DRUM,46MM2/S AT 40DEG C,102,200DEG C,-12DEG C","PERFECTO T 46,DRUM OF 208L",CASTROL,2108/208,EA,571.94,"['PERFECTO', 'T', '46', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,863.39
,36011256,"RADICOOL SF PREMIX,DRUM OF 208L","COOLANT,ENGINE:ANTI-FREEZE,208L DRUM","RADICOOL SF PREMIX,DRUM OF 208L",CASTROL,1715/208,EA,962.55,"['RADICOOL', 'SF', 'PREMIX', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,1191.11
,40020558,"CASTROL SPHEEROL AP3,CAN OF 18KG","GREASE,INDUSTRIAL:WATERPROOF,SPHEEROL AP3,18KG PAIL,3,-20 TO 120DEG C,LITHIUM SOAP,120MM SQ/SEC AT 40DEC C,LIGHT BROWN","CASTROL SPHEEROL AP3,CAN OF 18KG",CASTROL,9003/18,EA,165,"['CASTROL', 'SPHEEROL', 'AP3', 'CAN', 'OF', '18KG']",11/20/2017,10/13/2021,,192.39
,36006736,"PERFECTO T 32,DRUM OF 208L","OIL,INDUSTRIAL:MINERAL/TURBINE,PERFECTO T32,208L DRUM,32MM2/S AT 40DEG C,102,216DEG C,AMBER,-12DEG C","PERFECTO T 32,DRUM OF 208L",CASTROL,2104/208,EA,571.94,"['PERFECTO', 'T', '32', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,861.06
,11105657,"CASTROL SPHEEROL AP2,CAN OF 18KG","GREASE,INDUSTRIAL:MULTI PURPOSE,SPHEEROL AP2,18KG BUCKET,2,-20 TO 120DEG C,LITHIUM SOAP THICKENER,85-105MM SQ/SEC AT 40DEC C VISCOSI  TY,BROWN","CASTROL SPHEEROL AP2,CAN OF 18KG",CASTROL,9002/18,EA,165,"['CASTROL', 'SPHEEROL', 'AP2', 'CAN', 'OF', '18KG']",11/20/2017,10/13/2021,,192.39
,11199132,"CASTROL HYSPIN AWS 68,DRUM OF 208L","OIL,INDUSTRIAL:HYDRAULIC/ANTI-WEAR,HYSPIN AWS 68,208L DRUM,68CST AT 40DEG C VISCOSITY,102 INDEX VISCOSITY,220DEG C FLASH POINT,-21DE  G C,VISCOSITY RATING 8.6CST AT 100DEG C","CASTROL HYSPIN AWS 68,DRUM OF 208L",CASTROL,14606E,EA,795,"['CASTROL', 'HYSPIN', 'AWS', '68', 'DRUM', 'OF', '208L']",11/20/2017,10/13/2021,,1104.97
,36006784,"COMPOUND:JET LUBE KOPR KOTE,CAN OF 20KG","COMPOUND:ALUMINUM BASE,-18 TO 232DEG C,KOPR-KOTE,SEMI SOLID,20KG PAIL","JET LUBE KOPR KOTE,CAN OF 20KG",JET-LUBE,,EA,325,"['COMPOUND:JET', 'LUBE', 'KOPR', 'KOTE', 'CAN', 'OF', '20KG']",11/20/2017,10/13/2021,,357.5
,11198265,"GREASE,INDUST:GEN PUR,SPHEEROL EPL3,16KG","GREASE,INDUSTRIAL:GENERAL PURPOSE,SPHEEROL EPL3,16KG PAIL,NLGI GR 3,LITHIUM THICKENER,150 TO 200CST AT 40DEG C VISCOSITY,AMBER TO BR  OWN","CASTROL SPHEEROL EPL3,16 KG",CASTROL,15A4F2,EA,148,"['GREASE', 'INDUST:GEN', 'PUR', 'SPHEEROL', 'EPL3', '16KG']",11/20/2017,10/13/2021,,156.88
,36006681,"HYSPIN AWH-M 32,CAN OF 20L","OIL,INDUSTRIAL:ANTI-WEAR,0.874KG/L AT 15DEG C,HYDRAULIC/MINERAL,HYSPIN AWH-M 32,LIQUID,20L PAIL,32CST AT 40DEG C/6.3CST AT 100DEG C,  150,180DEG C,LIGHT YELLOW,-42DEG C","HYSPIN AWH-M 32,CAN OF 20L",CASTROL,6154/20,EA,79.2,"['HYSPIN', 'AWH-M', '32', 'CAN', 'OF', '20L']",11/20/2017,10/13/2021,,103.67
