Action,Supplier Part No. / Reference,"BP Material / 
Service Master No.","Part Number 
Extension",Product Type,UOM,BP Short Description,BP Long Description,Supplier Description,Manufacturer Name,Manufacturer Part Number,Alternate Manufacturer Name,"Estimated Purchase 
Quantity
",2021 rates,2020 rates,Delta Price, Delta Price %,FILE SENT TO ELMIRA 2021 rates,APR 2021 PB,2021 Chris,,PN 80%,Desc 80%,MnF PN ,Price Unit,Range Price - Min,Range Price - Max,SLA_Leadtime,Incoterms Key,Incoterms Location,Incoterms Location Country,UNSPSC Code,Delivery Tolerance - Under %,Delivery Tolerance - Over %,Price Valid From,Price Valid to,Scale Pricing Quantity ,Minimum  Order Quantity,Maximum Order Quantity ,Lot Size,Internal Part Number,Export Control Status,Export Control No.,Plant Code,NCM Code,Material Origin,Material Usage,Internal ID,UNSPSC Code Description,Sub-Category,Category,1325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FCA,,,,,,,,,,,,,,,,,,,,,,,
Change,8,,,Service,EA,"TRAINER,PER DIEM","EXPENSE,PER DIEM:TRAINER","LABOR,FIELD SERVICE:TRAINER,PER DIEM",,,,,314,325,-11,-3.50%,314,325,,,,,,1,,,,FCA,,,71000000,,,20200401,20220131,1,,,,,,,,,,,44100195539,#REF!,#REF!,#REF!,1
Change,9,,,Service,EA,"EXPENSE,TRAVELING:MOB/DEMOB","EXPENSE,TRAVELING:MOBILIZATION/DEMOBILIZATION,TRAINER,WITHIN EUROPE BY AIR","EXPENSE,TRAINING:TRAINER MOBILIZATION/DEMOBILIZATION,WITHIN EUROPE BY AIR",,,,,2796,2655,141,5.04%,2796,2655,,,,,,1,,,,FCA,,,86000000,,,20200401,20220131,1,,,,,,,,,,,4.41E+11,#REF!,#REF!,#REF!,1
Change,10,,,Service,EA,"EXPENSE,TRAVELING:MOB/DEMOB","EXPENSE,TRAVELING:MOBILIZATION/DEMOBILIZATION,TRAINER,OUTSIDE EUROPE BY AIR","EXPENSE,TRAVELING:MOBILIZATION/DEMOBILIZATION,TRAINER,OUTSIDE EUROPE BY AIR",,,,,8635,8635,0,0.00%,8635,8635,,,,,,1,,,,FCA,,,90000000,,,20190531,20210131,1,,,,,,,,,,,4.41E+11,#REF!,#REF!,#REF!,1
Change,26,,,Service,DAY,"EXPENSE:ACCOMMODATION,MEALS,LOCAL TRANSP","EXPENSE:ACCOMMODATION,MEALS,LOCAL TRANSPORT,F/ ONSHORE WORK","EXPENSE:ACCOMMODATION,MEALS,LOCAL TRANSPORT,F/ ONSHORE WORK",,,,,325,325,0,0.00%,325,325,,,,,,1,,,,FCA,,,80000000,,,20210201,20220131,1,,,,,,,,,,,4.41E+11,#REF!,#REF!,#REF!,1
Change,POA1,,,Service,EA,P:3RD PARTY CHARGES,"SERVICE,THIRD PARTY:CHARGE",3RD PARTY CHARGES,,,,,0,0,0,0.00%,0,0,,,,,,1,,,,FCA,,,73152103,,,20190531,20220131,1,,,,,,,,,,,4.41E+11,#REF!,#REF!,#REF!,1
Change,POA2,,,Service,EA,P:EXPENSES,EXPENSE,EXPENSES,,,,,0,0,0,0.00%,0,0,,,,,,1,,,,FCA,,,73152103,,,20190531,20220131,1,,,,,,,,,,,4.41E+11,#REF!,#REF!,#REF!,1
Inactive,49,,,Service,EA,R:INSIGHT ENABLEMENT FEE,EXPENSE:INSIGHT ENABLEMENT FEE,INSIGHT ENABLEMENT FEE,,,,,0,0,0,0.00%,0,0,,,,,,1,1,75000,,FCA,,,23150000,,,20190531,20210131,1,,,,,,,,,,,4.41E+11,#REF!,#REF!,#REF!,1
Change,67,,,Service,MON,"REMOTE MONITORING & DIAGNOSIS, PER UNIT","SERVICE,OIL GAS WELL MONITORING:REMOTE MONITORING AND DIAGNOSIS,PER UNIT","REMOTE MONITORING & DIAGNOSIS, PER UNIT",,,,,3277,3277,0,0.00%,3277,3277,,,,,,1,,,,FCA,,,81000000,,,20210201,20220131,1,,,,,,,,,,,4.41E+11,#REF!,#REF!,#REF!,1
Inactive,68,,,Service,MON,ADDITIONAL UNIT ENABLEMENT FEE,EXPENSE:ADDITIONAL UNIT ENABLEMENT FEE,ADDITIONAL UNIT ENABLEMENT FEE,,,,,0,0,0,0.00%,20257,20257,,,,,,1,,,,FCA,,,81000000,,,20190531,20210131,1,,,,,,,,,,,4.41E+11,#REF!,#REF!,#REF!,1
Change,69,,,Service,MON,PROJECT BTC FLEET MANAGER FEE,"LABOR,ENGINEERING:PROJECT BTC FLEET MANAGER",PROJECT BTC FLEET MANAGER FEE 100PCT,,,,,43098,43098,0,0.00%,43098,43098,,,,,,1,,,,FCA,,,81000000,,,20210201,20220131,1,,,,,,,,,,,4.41E+11,#REF!,#REF!,#REF!,1
Change,70,,,Service,MON,EXPAT SITE TECHNICIAN FEE,"LABOR,FIELD SERVICE:SITE TECHNICIAN,EXPATRIATE",EXPAT SITE TECHNICIAN FEE 100PCT,,,,,44199,44199,0,0.00%,44199,44199,,,,,,1,,,,FCA,,,81000000,,,20210201,20220131,1,,,,,,,,,,,4.41E+11,#REF!,#REF!,#REF!,1
Change,71,,,Service,MON,AZE LOCAL TECHNICIAN FEE,"LABOR,FIELD SERVICE:TECHNICIAN,AZERBAIJAN,LOCAL",AZE LOCAL TECHNICIAN FEE 100PCT,,,,,39337,39337,0,0.00%,39337,39337,,,,,,1,,,,FCA,,,81000000,,,20210201,20220131,1,,,,,,,,,,,4.41E+11,#REF!,#REF!,#REF!,1
Change,72,,,Service,MON,GEO LOCAL TECHNICIAN FEE,"LABOR,FIELD SERVICE:TECHNICIAN,GEORGIA,LOCAL",GEO LOCAL TECHNICIAN FEE 100PCT,,,,,39337,39337,0,0.00%,39337,39337,,,,,,1,,,,FCA,,,81000000,,,20210201,20220131,1,,,,,,,,,,,4.41E+11,#REF!,#REF!,#REF!,1
Change,73,,,Service,MON,LOCAL TRAINEE TECHNICAIN FEE,"LABOR,FIELD SERVICE:TRAINEE TECHNICIAN,GEORGIA,LOCAL",LOCAL TRAINEE TECHNICAIN FEE 100PCT,,,,,14092,14092,0,0.00%,14092,14092,,,,,,1,,,,FCA,,,81000000,,,20210201,20220131,1,,,,,,,,,,,4.41E+11,#REF!,#REF!,#REF!,1
Change,74,,,Service,MON,LOCAL FIELD OFFICE COORDINATOR,"LABOR,FIELD SERVICE:LOCAL FIELD OFFICE COORDINATOR",LOCAL FIELD OFFICE COORDINATOR 100PCT,,,,,6231,6231,0,0.00%,6231,6231,,,,,,1,,,,FCA,,,81000000,,,20210201,20220131,1,,,,,,,,,,,4.41E+11,#REF!,#REF!,#REF!,1
Change,83,,,Service,MON,EXPAT OFFSHORE SITE TECHNICIAN FEE,"LABOR FIELD SERVICE:SITE TECHNICIAN,EXPAT,OFFSHORE","LABOR,EXPAT OFFSHORE SITE TECHNICIAN FEE 100PCT",,,,,44199,44199,0,0.00%,44199,44199,,,,,,1,,,,FCA,,,81000000,,,20210201,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,84,,,Service,MON,PROJECT FLEETMANAGER OFFSHORE BASE MNG,"LABOR,ENGINEERING:PROJECT FLEET MANAGER,OFFSHORE,BASE MANAGEMENT FEE,PER UNIT","PROJECT FLEETMANAGER OFFSHORE BASE MANAGEMENT FEE, PER UNIT",,,,,5322,5322,0,0.00%,5322,5322,,,,,,1,,,,FCA,,,81000000,,,20210201,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1046488-3T481,36500890718,,Material,EA,"HOSE,ASSY:1-1/2IN ID","HOSE,ASSEMBLY: 1-1/2IN ID","HOSE:ASSEMBLY,1-1/2IN ID",SOLAR TURBINES,1046488-3T481,,,865.7,876.59,-10.89,-1%,876.59,876.59,865.7,,#N/A,#N/A,,1,,,60,FCA,BELGIUM,,40142000,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1054082-100,11042272,,Material,EA,"STOP:DOOR,3 X 3 X 10IN,SS","STOP:DOOR,3 X 3 X 10IN,SS,7.62 X 7.62 X 25.4MM",STOP:DOOR,SOLAR TURBINES,1054082-100,,,17.14,16.77,0.37,2%,16.77,16.77,17.14,,#N/A,#N/A,,1,,,42,FCA,BELGIUM,,15121516,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1052168-23,10184117,,Material,EA,"TRANSMITTER,PRES:GA,0 TO 800 PSI","TRANSMITTER,PRESSURE: GAUGE,0 TO 800 PSI","TRANSMITTER,PRESSURE:GAGE,0-800PSI RANGE",SOLAR TURBINES,1052168-23,,,1504.66,1546.45,-41.79,-3%,1546.45,1546.45,1504.66,,#N/A,#N/A,,1,,,78,FCA,BELGIUM,,41112410,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1114470-10,36500890492,,Material,EA,"SWTCH,PRESSURE/VACUUM:0 TO 1300 PSI RANG","SWITCH,PRESSURE/VACUUM: 0 TO 1300 PSI RANGE,DPDT,2 POLE","SWITCH,PRESSURE:0-1300PSI RANGE,DPDT",SOLAR TURBINES,1114470-10,,,607.39,624.26,-16.87,-3%,624.26,624.26,607.39,,#N/A,#N/A,,1,,,96,FCA,BELGIUM,,39121506,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,85,,,Service,MON,FLEET MANAGER OFFSHORE BASE MNG AIOC,"PROJECT FLEET MANAGER OFFSHORE BASE MANAGEMENT FEE,FOUR UNITS,AIOC","PROJECT FLEET MANAGER OFFSHORE BASE MANAGEMENT FEE,FOUR UNITS,AIOC",,0,,,21288,21288,0,0.00%,21288,21288,,,,,,1,,,,FCA,,,81000000,,,20210201,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,86,,,Service,MON,FLEET MANAGER OFFSHORE BASE MNG SD2,"PROJECT FLEET MANAGER OFFSHORE BASE MANAGEMENT FEE,FOUR UNITS,SD2","PROJECT FLEET MANAGER OFFSHORE BASE MANAGEMENT FEE,FOUR UNITS,SD2",,0,,,21288,21288,0,0.00%,21288,21288,,,,,,1,,,,FCA,,,81000000,,,20210201,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1008524,36024173,,Material,EA,"SWTCH,TEMP:70 TO 85 DEG F RANGE,120/240A","SWITCH,TEMPERATURE: 70 TO 85 DEG F RANGE,120/240ACV","SWITCH,TEMPERATURE:70 TO 85DEG F",SOLAR TURBINES,1008524,,,66.1,66.93,-0.83,-1%,66.93,66.93,66.1,,#N/A,#N/A,,1,,,56,FCA,,,39121549,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1010125,10144617,,Material,EA,"SWTCH,KEY:3 POSITION","SWITCH,KEY: 3 POSITION",SWITCH:3 POSITION,SOLAR TURBINES,1010125,,,182.35,184.65,-2.3,-1%,184.65,184.65,182.35,,#N/A,#N/A,,1,,,56,FCA,,,39121500,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1010416,36029138,,Material,EA,"SWTCH:SELCTR,PRINTED W/ HAND/OFF/AUTO,W/","SWITCH: SELECTOR,PRINTED W/ HAND/OFF/AUTO,W/ HOUSING","SWITCH,SELECTOR:HOUSING",CATERPILLAR,1010416,,,273.01,276.45,-3.44,-1%,276.45,276.45,273.01,,#N/A,#N/A,,1,,,77,FCA,,,39121500,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1011114-1,36023941,,Material,EA,ADPTR:ACTR,ADAPTER: ACTUATOR,ADAPTER:,SOLAR TURBINES,1011114-1,,,856.5,867.28,-10.78,-1%,867.28,867.28,856.5,,#N/A,#N/A,,1,,,77,FCA,,,20111600,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1011842-100,10051295,,Material,EA,"RELAY,PROTECTION:3 POLE,3PST","RELAY,PROTECTION: 3 POLE,3PST","RELAY,PROTECTION:MOTOR,F/ TEMPERATURE CO",SOLAR TURBINES,1011842-100,,,424.46,429.79,-5.33,-1%,429.79,429.79,424.46,,#N/A,#N/A,,1,,,70,FCA,,,39121520,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1013121-12,36024609,,Material,EA,"TRANSMITTER,DIFF PRES:COPLANAR,4-20MA OU","TRANSMITTER,DIFFERENTIAL PRESSURE: COPLANAR,4-20MA OUTPUT,-300 TO 300 PSI,FLANGE,10.5-42.4DCV,ALUMINUM,316L STAINLESS STEEL,CABLE ENTRY DETAIL: 1/2IN-14 NPT,COMMUNICATION PROTOCOL: HART,DRAIN MATERIAL: STAINLESS STEEL,FLANGE MATERIAL: STAINLESS STEEL,SUPPLIED WITH: GLASS FILLED TEFLON O-RING,SENSOR FILL FLUID: SILICONE,VENT MATERIAL: STAINLESS STEEL","TRANSMITTER,DIFF PRES:COPLANAR,-300 TO 3",EMERSON,3051CD4A22A1AL4K6Q4Q8,,,1713.59,1761.19,-47.6,-3%,1761.19,1761.19,1713.59,,#N/A,#N/A,,1,,,70,FCA,,,41112410,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1014672-4,36023852,,Material,EA,"PROBE:PROX,VIBRATION,11MM DIA,2M LEAD,SE","PROBE: PROXIMITY,VIBRATION,11MM DIA,2M LEAD,SERIES: 7200","PROBE,PROXIMITY:TYPE 7200,11MM TIP DIA",SOLAR TURBINES,1014672-4,,,667.25,675.64,-8.39,-1%,675.64,675.64,667.25,,#N/A,#N/A,,1,,,70,FCA,,,41111900,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1015213,36024335,,Material,EA,"SWTCH,KEY:2 POSITION","SWITCH,KEY: 2 POSITION",SWITCH:KEY,SOLAR TURBINES,1015213,,,77.47,75.83,1.64,2%,75.83,75.83,77.47,,#N/A,#N/A,,1,,,42,FCA,,,39121500,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1016237,36029147,,Material,EA,"BOLT:3/8IN,UNC,1/2IN,5 PACK","BOLT: 3/8IN,UNC,1/2IN,5 PACK","BOLT:3/8IN DIA,UNC,1/2IN LG,5 PACK",SOLAR TURBINES,1016237,,,15.75,16.19,-0.44,-3%,16.19,16.19,15.75,,#N/A,#N/A,,1,,,56,FCA,,,31161600,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1018003-1,11025469,,Material,EA,"GLASS,SIGHT","GLASS,SIGHT","GAUGE,LVL:SIGHT,FLOW",SOLAR TURBINES,1018003-1,,,312.32,316.25,-3.93,-1%,316.25,316.25,312.32,,#N/A,#N/A,,1,,,63,FCA,,,41112500,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1018270-100,36023892,,Material,EA,REGLTR:TEMP,REGULATOR: TEMPERATURE,REGULATOR:TEMPERATURE,SOLAR TURBINES,1018270-100,,,3904.53,4012.99,-108.46,-3%,4012.99,4012.99,3904.53,,#N/A,#N/A,,1,,,91,FCA,,,39121009,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1020458-3,10131081,,Material,EA,"BOARD,PC:ISOTHERMAL","BOARD,PRINTED CIRCUIT: ISOTHERMAL","BOARD,PRINTED CIRCUIT:ISOTHERMAL,F/ TEMP",SOLAR TURBINES,1020458-3,,,462.25,468.07,-5.82,-1%,468.07,468.07,462.25,,#N/A,#N/A,,1,,,98,FCA,,,32101502,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1022716-1,11042946,,Material,EA,"PROTECTOR,ELEC:SURGE","PROTECTOR,ELECTRICAL: SURGE",FILTER:EMI,SOLAR TURBINES,1022716-1,,,347.62,285.82,61.8,18%,285.82,285.82,347.62,,#N/A,#N/A,,1,,,56,FCA,,,40161500,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1023031-8,11028041,,Material,EA,"PROBE,PROX:AXIAL,3300XL","PROBE,PROXIMITY:AXIAL,3300XL","PROBE,PROXIMITY:AXIAL,3300",SOLAR TURBINES,1023031-8,,,408.32,413.46,-5.14,-1%,413.46,413.46,408.32,,#N/A,#N/A,,1,,,63,FCA,,,41111900,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1023147-1,36023962,,Material,EA,SENSOR:VIBRATION,SENSOR: VIBRATION,SENSOR:VIBRATION,SOLAR TURBINES,1023147-1,,,862.77,873.63,-10.86,-1%,873.63,873.63,862.77,,#N/A,#N/A,,1,,,63,FCA,,,41111900,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1025156-2,36024346,,Material,EA,BASE:RAIL MOUNT ADAPTER,BASE: RAIL MOUNT ADAPTER,BASE:,SOLAR TURBINES,1025156-2,,,22.99,21.47,1.52,7%,21.47,21.47,22.99,,#N/A,#N/A,,1,,,70,FCA,,,23153100,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1025324-1,11027441,,Material,EA,"FLTR,ELMNT:CYLDCL,GAS FUEL","FILTER,ELEMENT: CYLINDRICAL,GAS FUEL","ELEMENT,FILTER:",SOLAR TURBINES,1025324-1,,,63.26,51.77,11.49,18%,51.77,51.77,63.26,,#N/A,#N/A,,1,,,56,FCA,,,40161500,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1025324-2,11027442,,Material,EA,"FLTR,ELMNT:3IN OD","FILTER,ELEMENT: 3IN OD","ELEMENT,FILTER:",SOLAR TURBINES,1025324-2,,,68.28,69.14,-0.86,-1%,69.14,69.14,68.28,,15,#N/A,15,1,,,63,FCA,,,40161500,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1027105-10,11028042,,Material,EA,"VLV,BALL:3/4IN,NPT,HND","VALVE,BALL: 3/4IN,NPT,HAND","VALVE,BALL:3/4IN,HAND OPERATED",SOLAR TURBINES,1027105-10,,,86.28,87.37,-1.09,-1%,87.37,87.37,86.28,,#N/A,#N/A,,1,,,56,FCA,,,40141607,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1027105-18,11028044,,Material,EA,"CPLG,HOSE:QUICK DISCONNECT","COUPLING,HOSE: QUICK DISCONNECT",COUPLING:QUICK DISCONNECT,SOLAR TURBINES,1027105-18,,,492.31,498.51,-6.2,-1%,498.51,498.51,492.31,,#N/A,#N/A,,1,,,56,FCA,,,20121410,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1027105-19,11025250,,Material,EA,"CPLG,HOSE:1/2IN,QUICK DISCONNECT","COUPLING,HOSE: 1/2IN,QUICK DISCONNECT","COUPLER:QUICK DISCONNECT,1/2IN,FEMALE",SOLAR TURBINES,1027105-19,,,198.15,203.66,-5.51,-3%,203.66,203.66,198.15,,#N/A,#N/A,,1,,,77,FCA,,,32101517,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1027105-20,11025251,,Material,EA,"CPLG,HOSE:1/2IN,QUICK DISCONNECT","COUPLING,HOSE: 1/2IN,QUICK DISCONNECT","COUPLER:QUICK DISCONNECT,1/2IN,MALE",SOLAR TURBINES,1027105-20,,,169.54,174.25,-4.71,-3%,174.25,174.25,169.54,,#N/A,#N/A,,1,,,56,FCA,,,32101517,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1027105-21,11025252,,Material,EA,"CASTER:SWVL,6IN DIA,STL","CASTER: SWIVEL,6IN DIA,STEEL","CASTER:SWVL,6IN,STL",SOLAR TURBINES,1027105-21,,,114.23,115.67,-1.44,-1%,115.67,115.67,114.23,,#N/A,#N/A,,1,,,56,FCA,,,31162701,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1027105-22,11025253,,Material,EA,"CASTER:RGD,6IN DIA","CASTER: RIGID,6IN DIA","CASTER:RGD,6IN",SOLAR TURBINES,1027105-22,,,74.24,75.17,-0.93,-1%,75.17,75.17,74.24,,#N/A,#N/A,,1,,,56,FCA,,,31162701,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1027105-23,11028045,,Material,EA,"HOSE,ASSY:CHEM,1/2IN ID,SOLAR TURBINES","HOSE,ASSEMBLY: CHEMICAL,1/2IN ID,SOLAR TURBINES","HOSE:1/2IN DIA,ASSY",CATERPILLAR,1027105-23,,,148.46,150.33,-1.87,-1%,150.33,150.33,148.46,,#N/A,#N/A,,1,,,63,FCA,,,40142000,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1027105-25,11028046,,Material,EA,"HOSE,ASSY:CHEM,3/4IN ID,15FT LG,100PSI W","HOSE,ASSEMBLY: CHEMICAL,3/4IN ID,15FT LG,100PSI WP,SOLAR TURBINES","HOSE:3/4IN,100PSI,ASSY",CATERPILLAR,1027105-25,,,201.29,203.82,-2.53,-1%,203.82,203.82,201.29,,#N/A,#N/A,,1,,,77,FCA,,,40142000,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1027105-31,11046733,,Material,EA,"VLV,BALL:2IN,HND","VALVE,BALL: 2IN,HAND","VALVE,BALL:2IN,HAND OPERATED",SOLAR TURBINES,1027105-31,,,246.9,253.76,-6.86,-3%,253.76,253.76,246.9,,#N/A,#N/A,,1,,,56,FCA,,,40141607,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1027105-4,11028048,,Material,EA,"GAUGE,PRES:DUAL SCALE,0 TO 160PSIG,SOLAR","GAUGE,PRESSURE: DUAL SCALE,0 TO 160PSIG,SOLAR TURBINES","GAUGE,PRESSURE:0-160PSI/0-14BAR",CATERPILLAR,1027105-4,,,104.46,105.77,-1.31,-1%,105.77,105.77,104.46,,#N/A,#N/A,,1,,,56,FCA,,,23151820,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1027105-40,11042216,,Material,EA,"KIT:LOOSE SHIP,WAND WASH,ENGINE CLEANING","KIT: LOOSE SHIP,WAND WASH,ENGINE CLEANING SYSTEM","KIT:WAND WASH,ENGINE CLEANING SYSTEM,LS",SOLAR TURBINES,1027105-40,,,712.9,721.87,-8.97,-1%,721.87,721.87,712.9,,#N/A,#N/A,,1,,,77,FCA,,,23150000,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1027105-9,11025433,,Material,EA,"VLV,BALL:1/2IN,1000PSI WOG,NPT,STAINLESS","VALVE,BALL: 1/2IN,1000PSI WOG,NPT,STAINLESS STEEL GR CF8M BODY,HAND OPERATED","VALVE,BALL:1/2IN,NPT",SOLAR TURBINES,1027105-9,,,59.22,59.97,-0.75,-1%,59.97,59.97,59.22,,#N/A,#N/A,,1,,,84,FCA,,,40141607,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1027338-1,11043441,,Material,EA,"KIT:REP,PILOT SOLENOID VALVE","KIT: REPAIR,PILOT SOLENOID VALVE","KIT:REBUILT,PILOT SOL VLV",SOLAR TURBINES,1027338-1,,,255.67,258.89,-3.22,-1%,258.89,258.89,255.67,,#N/A,#N/A,,1,,,70,FCA,,,23150000,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1027484-101,10051305,,Material,EA,"VLV,SOLENOID:DIR,2WY,PRESSURE RATING: 50","VALVE,SOLENOID: DIRECTIONAL,2-WAY,PRESSURE RATING: 500 PSI","VALVE,SOLENOID:DIRECTIONAL",SOLAR TURBINES,1027484-101,,,1359.76,1397.53,-37.77,-3%,1397.53,1397.53,1359.76,,#N/A,#N/A,,1,,,70,FCA,,,40141605,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1027753,10164855,,Material,EA,"UNION,TUBE:STRGT,3/8IN,MALE FLARE","UNION,TUBE: STRAIGHT,3/8IN,MALE FLARE","UNION,TUBE:STRAIGHT,3/8IN MALE",SOLAR TURBINES,1027753,,,21.04,20.6,0.44,2%,20.6,20.6,21.04,,#N/A,#N/A,,1,,,63,FCA,,,40142600,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1029772-2,36024611,,Material,EA,"VLV,SOLENOID:CNTRL,2-POSITION,2WY,PILOT","VALVE,SOLENOID: CONTROL,2-POSITION,2-WAY,PILOT","VALVE,SOLENOID:2 POSITION,2-WAY",SOLAR TURBINES,1029772-2,,,1893.69,1853.62,40.07,2%,1853.62,1853.62,1893.69,,#N/A,#N/A,,1,,,91,FCA,,,40141605,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
