Action,Supplier Part No. / Reference,"BP Material / 
Change,120335-1,10051401,,Material,EA,"VLV,CHK:3/4IN","VALVE,CHECK: 3/4IN","VALVE,CHECK:F/ GT DRIVER",SOLAR TURBINES,120335-1,,,970.16,996.83,-26.67,-3%,996.83,996.83,970.1590457,,#N/A,#N/A,,1,,,98,FCA,,,40141600,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,120337-12,11048295,,Material,EA,THERMOSTAT:TEMP CNTRL,"THERMOSTAT:TEMP CNTRL,VALVE KIT",THERMOSTAT:TEMP CNTRL,SOLAR TURBINES,120337-12,,,3429.94,3525.21,-95.27,-3%,3525.21,3525.21,3429.94,,#N/A,#N/A,,1,,,63,FCA,,,41112209,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,120369-4,36024219,,Material,EA,"ARRESTER,FLAME:","ARRESTER,FLAME:","ARRESTER,FLAME:",SOLAR TURBINES,120369-4,,,1907.61,1568.48,339.13,18%,1568.48,1568.48,1907.61,,#N/A,#N/A,,1,,,56,FCA,,,23153100,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,120418-8,36024178,,Material,EA,"VALVE,CHK","VALVE,CHECK","VALVE,CHECK:",SOLAR TURBINES,120418-8,,,887.2,898.37,-11.17,-1%,898.37,898.37,887.2,,#N/A,#N/A,,1,,,84,FCA,,,40141600,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,120587-2,36024137,,Material,EA,"VALVE,CHK","VALVE,CHECK","VALVE,CHECK:",SOLAR TURBINES,120587-2,,,721.07,741.1,-20.03,-3%,741.1,741.1,721.07,,#N/A,#N/A,,1,,,70,FCA,,,40141600,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,120649-17,36029148,,Material,EA,"SENSOR:VELOCITY,W/ 20FT CABLE","SENSOR: VELOCITY,W/ 20FT CABLE",SENSOR:VIBRATION,CEC VIBRATION PRODUCTS,120649-17,,,1593.69,1637.96,-44.27,-3%,1637.96,1637.96,1593.69,,#N/A,#N/A,,1,,,63,FCA,,,41111900,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,120649-18,11044257,,Material,EA,"SENSOR:VELOCITY,W/ 6FT LG CABLE","SENSOR: VELOCITY,W/ 6FT LG CABLE",SENSOR:VELOCITY,SOLAR TURBINES,120649-18,,,1554.37,1573.93,-19.56,-1%,1573.93,1573.93,1554.37,,#N/A,#N/A,,1,,,63,FCA,,,41111900,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,120737-1,11047399,,Material,EA,FLTR:LIQUID FUEL,FILTER: LIQUID FUEL,"FILTER,FUEL:DIESEL,HSG",SOLAR TURBINES,120737-1,,,521.31,527.86,-6.55,-1%,527.86,527.86,521.31,,#N/A,#N/A,,1,,,77,FCA,,,40161500,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,120765-1,11044433,,Material,EA,"KIT:SRVC,HOUSING ASSEMBLY,O-RNG,PLEATED","KIT: SERVICE,HOUSING ASSEMBLY,O-RING,PLEATED LIQUID FILTER ELEMENT,DIESEL","ELEMENT,FLTR:DIESEL,F/ HSG ASSY 120737-",SOLAR TURBINES,120765-1,,,39.65,40.15,-0.5,-1%,40.15,40.15,39.65,,#N/A,#N/A,,1,,,63,FCA,,,40161500,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,120848-4,11025249,,Material,EA,"STRAINER:TYPE Y,PIPE,3/4IN,40 MESH,NPT,3","STRAINER: TYPE Y,PIPING,3/4IN,40 MESH,NPT,316L STAINLESS STEEL,CLASS 1500,GR CF8M","STRAINER,PIPE:Y,3/4IN,40 MESH,316L SS,NP",SOLAR TURBINES,120848-4,,,349.25,353.65,-4.4,-1%,353.65,353.65,349.25,,#N/A,#N/A,,1,,,91,FCA,,,40142500,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,124907-17,11042206,,Material,EA,"GROMMET:SEAL,0.965 OD X 0.994IN,FKM","GROMMET: SEAL,0.965 OD X 0.994IN,FKM",GROMMET:SEALING,SOLAR TURBINES,124907-17,,,19.8,21.41,-1.61,-8%,21.41,21.41,19.8,,#N/A,#N/A,,1,,,70,FCA,,,31162401,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,124907-29,36024540,,Material,EA,"GROMMET:1.112IN OD,0.994IN LG,7","GROMMET: 1.112IN OD,0.994IN LG,7",GROMMET:7 HOLE,SOLAR TURBINES,124907-29,,,22.8,29.29,-6.49,-28%,29.29,29.29,22.8,,#N/A,#N/A,,1,,,91,FCA,,,31162401,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,128315-20,36023970,,Material,EA,"VLV,SOLENOID:4WY","VALVE,SOLENOID: 4-WAY","VALVE,SOLENOID:",SOLAR TURBINES,128315-20,,,1772.2,1794.51,-22.31,-1%,1794.51,1794.51,1772.2,,#N/A,#N/A,,1,,,84,FCA,,,40141605,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,128317-2,36023857,,Material,EA,"MOTOR,HYD:VARIABLE DISPLACEMENT","MOTOR,HYDRAULIC: VARIABLE DISPLACEMENT","MOTOR,HYD:VARIABLE DISPLACEMENT",SOLAR TURBINES,128317-2,,,29505.33,29876.78,-371.45,-1%,29876.78,29876.78,29505.33,,#N/A,#N/A,,1,,,105,FCA,,,26101300,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,128318-4,36023858,,Material,EA,"PUMP:AXIAL PISTON,VARIABLE DISPLACEMENT","PUMP: AXIAL PISTON,VARIABLE DISPLACEMENT,OPERATION: HYDRAULIC","PUMP:AXIAL PISTON,HYDRAULICALLY OPERATED",SOLAR TURBINES,128318-4,,,26976.69,26405.74,570.95,2%,26405.74,26405.74,26976.69,,#N/A,#N/A,,1,,,168,FCA,,,40151500,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,128812-601,36023846,,Material,EA,VALVE:FUEL SERVICE,VALVE: FUEL SERVICE,VALVE:,SOLAR TURBINES,128812-601,,,16177.5,16381.17,-203.67,-1%,16381.17,16381.17,16177.5,,#N/A,#N/A,,1,,,273,FCA,,,40141600,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,130519-100,11027332,,Material,EA,"VLV,CHK","VALVE,CHECK","VALVE,CHECK:",SOLAR TURBINES,130519-100,,,820.55,830.87,-10.32,-1%,830.87,830.87,820.55,,#N/A,#N/A,,1,,,77,FCA,,,40141600,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,131855-200-900,36024291,,Material,EA,ADPTR:CLUTCH,ADAPTER: CLUTCH,ADAPTER:CLUTCH,SOLAR TURBINES,131855-200-900,,,7849.99,8068.04,-218.05,-3%,8068.04,8068.04,7849.99,,#N/A,#N/A,,1,,,119,FCA,,,20111600,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,136244-100,36500890378,,Material,EA,PLUG,PLUG,PLUG:ASSEMBLY,SOLAR TURBINES,136244-100,,,194.15,249.43,-55.28,-28%,249.43,249.43,194.15,,#N/A,#N/A,,1,,,54,FCA,,,20121301,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,136281-700,11044414,,Material,EA,"INJECTOR:DUAL,CONVENTIONAL","INJECTOR: DUAL,CONVENTIONAL",INJECTOR:DUAL/FUEL,SOLAR TURBINES,136281-700,,,9628.74,9896.21,-267.47,-3%,9896.21,9896.21,9628.74,,#N/A,#N/A,,1,,,126,FCA,,,41110000,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,136281-800,36023927,,Material,EA,"LINE:INJECTOR,200MM LG,ASSY","LINE: INJECTOR,200MM LG,ASSY","LINE:INJECTOR,200MM LG",SOLAR TURBINES,136281-800,,,10844.14,11145.36,-301.22,-3%,11145.36,11145.36,10844.14,,#N/A,#N/A,,1,,,133,FCA,,,20141003,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,136298-100,36029144,,Material,EA,TUBE:AIR,TUBE: AIR,TUBE:,SOLAR TURBINES,136298-100,,,22.07,21.6,0.47,2%,21.6,21.6,22.07,,#N/A,#N/A,,1,,,49,FCA,,,31231300,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,136578-1,11044439,,Material,EA,INJECTOR:TORCH,INJECTOR: TORCH,INJECTOR:IGNITOR,SOLAR TURBINES,136578-1,,,73.87,151.83,-77.96,-106%,151.83,151.83,73.87,,#N/A,#N/A,,1,,,126,FCA,,,41110000,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,136622-1,36029162,,Material,EA,GEAR:,GEAR:,GEAR:,SOLAR TURBINES,136622-1,,,2752.61,2694.35,58.26,2%,2694.35,2694.35,2752.61,,#N/A,#N/A,,1,,,112,FCA,,,31171700,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,136633-5,36023910,,Material,EA,"O-RNG:448,BUNA-N","O-RING: 448,BUNA-N",O-RING:RBR,SOLAR TURBINES,136633-5,,,51.62,52.26,-0.64,-1%,52.26,52.26,51.62,,#N/A,#N/A,,1,,,56,FCA,,,31181506,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,136633-600,36023913,,Material,EA,"CPLG,SHFT:DRIVEN,6IN BORE","COUPLING,SHAFT: DRIVEN,6IN BORE","COUPLING,SHAFT:6IN BORE",SOLAR TURBINES,136633-600,,,20802.02,21379.86,-577.84,-3%,21379.86,21379.86,20802.02,,#N/A,#N/A,,1,,,147,FCA,,,31163000,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,136634-101,36023850,,Material,EA,"CPLG,SHFT:DRIVE","COUPLING,SHAFT: DRIVE","COUPLING,SHAFT:",SOLAR TURBINES,136634-101,,,16309.99,16515.31,-205.32,-1%,16515.31,16515.31,16309.99,,#N/A,#N/A,,1,,,147,FCA,,,31163000,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,136635-2,36029198,,Material,EA,BOLT:SHEAR COUPLING,BOLT: SHEAR COUPLING,BOLT:SHEAR COUPLING,SOLAR TURBINES,136635-2,,,69.17,64.62,4.55,7%,64.62,64.62,69.17,,#N/A,#N/A,,1,,,77,FCA,,,31161600,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,136663-100,11048177,,Material,EA,TUBE:MAIN,TUBE: MAIN,TUBE:GAS LINE,SOLAR TURBINES,136663-100,,,89.87,87.96,1.91,2%,87.96,87.96,89.87,,#N/A,#N/A,,1,,,49,FCA,,,31231300,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,136664-101,36029174,,Material,EA,"TUBE:8MM OD,SERVICE: LIQUID FUEL","TUBE: 8MM OD,SERVICE: LIQUID FUEL",TUBE:GAS TURBINE,SOLAR TURBINES,136664-101,,,11.07,11.15,-0.08,-1%,11.15,11.15,11.07,,#N/A,#N/A,,1,,,42,FCA,,,31231300,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,136665-101,36029175,,Material,EA,"TUBE:9MM OD,SERVICE: LIQUID FUEL","TUBE: 9MM OD,SERVICE: LIQUID FUEL",TUBE:GAS TURBINE,SOLAR TURBINES,136665-101,,,11.07,11.15,-0.08,-1%,11.15,11.15,11.07,,#N/A,#N/A,,1,,,42,FCA,,,31231300,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,136666-101,36029176,,Material,EA,TUBE:LIQUID FUEL,TUBE: LIQUID FUEL,TUBE:GAS TURBINE,SOLAR TURBINES,136666-101,,,16.34,16.47,-0.13,-1%,16.47,16.47,16.34,,#N/A,#N/A,,1,,,42,FCA,,,31231300,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,136667-101,36029177,,Material,EA,TUBE:LIQUID FUEL,TUBE: LIQUID FUEL,TUBE:GAS TURBINE,SOLAR TURBINES,136667-101,,,24.11,24.78,-0.67,-3%,24.78,24.78,24.11,,#N/A,#N/A,,1,,,49,FCA,,,31231300,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,136668-101,36029178,,Material,EA,TUBE:LIQUID FUEL,TUBE: LIQUID FUEL,TUBE:GAS TURBINE,SOLAR TURBINES,136668-101,,,16.34,16.47,-0.13,-1%,16.47,16.47,16.34,,#N/A,#N/A,,1,,,42,FCA,,,31231300,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,136669-101,36029179,,Material,EA,TUBE:LIQUID FUEL,TUBE: LIQUID FUEL,TUBE:GAS TURBINE,SOLAR TURBINES,136669-101,,,27.63,27.83,-0.2,-1%,27.83,27.83,27.63,,#N/A,#N/A,,1,,,49,FCA,,,31231300,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,136670-101,36029180,,Material,EA,TUBE:LIQUID FUEL,TUBE: LIQUID FUEL,TUBE:GAS TURBINE,SOLAR TURBINES,136670-101,,,16.34,16.47,-0.13,-1%,16.47,16.47,16.34,,#N/A,#N/A,,1,,,49,FCA,,,31231300,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,136671-101,36029181,,Material,EA,TUBE:LIQUID FUEL,TUBE: LIQUID FUEL,TUBE:,SOLAR TURBINES,136671-101,,,16.34,16.47,-0.13,-1%,16.47,16.47,16.34,,#N/A,#N/A,,1,,,49,FCA,,,31231300,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,136672-101,36029182,,Material,EA,TUBE:LIQUID FUEL,TUBE: LIQUID FUEL,TUBE:GAS TURBINE,SOLAR TURBINES,136672-101,,,20.08,20.24,-0.16,-1%,20.24,20.24,20.08,,#N/A,#N/A,,1,,,42,FCA,,,31231300,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,136673-101,36029183,,Material,EA,TUBE:LIQUID FUEL,TUBE: LIQUID FUEL,TUBE:GAS TURBINE,SOLAR TURBINES,136673-101,,,23.84,24.02,-0.18,-1%,24.02,24.02,23.84,,#N/A,#N/A,,1,,,42,FCA,,,31231300,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,136674-101,36029184,,Material,EA,TUBE:LIQUID FUEL,TUBE: LIQUID FUEL,TUBE:GAS TURBINE,SOLAR TURBINES,136674-101,,,20.08,20.24,-0.16,-1%,20.24,20.24,20.08,,#N/A,#N/A,,1,,,42,FCA,,,31231300,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,136675-101,36029185,,Material,EA,TUBE:LIQUID FUEL,TUBE: LIQUID FUEL,TUBE:GAS TURBINE,SOLAR TURBINES,136675-101,,,27.6,27.81,-0.21,-1%,27.81,27.81,27.6,,#N/A,#N/A,,1,,,49,FCA,,,31231300,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,138180-100,11045461,,Material,EA,"VLV:GAS CONTROL,2IN,SS BODY,NACE MR0175","VALVE: GAS CONTROL,2IN,STAINLESS STEEL BODY,NACE MR0175","VALVE:GAS CONTROL,NACE MR-01-75,ASSY,W/S",SOLAR TURBINES,138180-100,,,9535.46,9800.33,-264.87,-3%,9800.33,9800.33,9535.46,,#N/A,#N/A,,1,,,238,FCA,,,40141600,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,138474-100,36029199,,Material,EA,HSG:ASSY,HOUSING:   ASSY,HOUSING:,SOLAR TURBINES,138474-100,,,3465.65,3653.24,-187.59,-5%,3653.24,3653.24,3465.65,,#N/A,#N/A,,1,,,126,FCA,,,31261500,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,138912-100,36024071,,Material,EA,"SEAL,LABYRINTH:5.335IN SHAFT DIA","SEAL,LABYRINTH: 5.335IN SHAFT DIA","SEAL,LABYRINTH:",SOLAR TURBINES,138912-100,,,1074.94,1104.8,-29.86,-3%,1104.8,1104.8,1074.94,,#N/A,#N/A,,1,,,91,FCA,,,31181600,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,142155-170,36029197,,Material,EA,"SPACER,SHIM:0.003IN THK","SPACER,SHIM: 0.003IN THK",SHIM:0.003IN THK,SOLAR TURBINES,142155-170,,,15,14.02,0.98,7%,14.02,14.02,15,,#N/A,#N/A,,1,,,56,FCA,,,31162815,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,142155-57,11047278,,Material,EA,"SPACER,SHIM:0.06IN THK","SPACER,SHIM: 0.06IN THK",SHIM:0.060IN THK,SOLAR TURBINES,142155-57,,,28.35,29.14,-0.79,-3%,29.14,29.14,28.35,,#N/A,#N/A,,1,,,56,FCA,,,31162815,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,142155-58,11045938,,Material,EA,"SPACER,SHIM:0.01IN THK","SPACER,SHIM: 0.01IN THK",SHIM:0.010IN THK,SOLAR TURBINES,142155-58,,,9.42,12.11,-2.69,-29%,12.11,12.11,9.42,,#N/A,#N/A,,1,,,84,FCA,,,31231400,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,142155-59,11047269,,Material,EA,"SPACER,SHIM:0.005IN THK","SPACER,SHIM: 0.005IN THK",SHIM:0.005IN THK,SOLAR TURBINES,142155-59,,,12.59,12.94,-0.35,-3%,12.94,12.94,12.59,,#N/A,#N/A,,1,,,56,FCA,,,31231400,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,142156-223,36024397,,Material,EA,"SPACER,SHIM:0.005IN THK","SPACER,SHIM: 0.005IN THK",SHIM:0.005IN THK,SOLAR TURBINES,142156-223,,,27.37,22.51,4.86,18%,22.51,22.51,27.37,,#N/A,#N/A,,1,,,49,FCA,,,31162815,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,142156-224,36024398,,Material,EA,"SPACER,SHIM:0.01IN THK","SPACER,SHIM: 0.01IN THK",SHIM:0.01IN THK,SOLAR TURBINES,142156-224,,,37.53,30.86,6.67,18%,30.86,30.86,37.53,,#N/A,#N/A,,1,,,56,FCA,,,31162815,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,142156-225,36024399,,Material,EA,"SPACER,SHIM:0.06IN THK","SPACER,SHIM: 0.06IN THK",SHIM:0.06IN THK,SOLAR TURBINES,142156-225,,,53.41,52.27,1.14,2%,52.27,52.27,53.41,,#N/A,#N/A,,1,,,49,FCA,,,31162815,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,142157-11,11029147,,Material,EA,"SPACER,SHIM:0.005IN THK","SPACER,SHIM: 0.005IN THK",SHIM:0.005IN THK,SOLAR TURBINES,142157-11,,,21.36,21.63,-0.27,-1%,21.63,21.63,21.36,,#N/A,#N/A,,1,,,49,FCA,,,31162815,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,142157-12,11029148,,Material,EA,"SPACER,SHIM:0.01IN THK","SPACER,SHIM: 0.01IN THK",SHIM:0.010IN THK,SOLAR TURBINES,142157-12,,,15.23,19.56,-4.33,-28%,19.56,19.56,15.23,,#N/A,#N/A,,1,,,56,FCA,,,31162815,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,142157-13,11043870,,Material,EA,"SPACER,SHIM:0.06IN THK,SS","SPACER,SHIM: 0.06IN THK,STAINLESS STEEL","SHIM:0.06IN THK,SS,TURBINE",SOLAR TURBINES,142157-13,,,26.98,27.32,-0.34,-1%,27.32,27.32,26.98,,#N/A,#N/A,,1,,,56,FCA,,,31162815,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,142157-56,36024364,,Material,EA,"SPACER,SHIM:TABULATED,0.005IN THK","SPACER,SHIM: TABULATED,0.005IN THK","SHIM:TABULATED,0.005IN THK",SOLAR TURBINES,142157-56,,,20.51,20.77,-0.26,-1%,20.77,20.77,20.51,,#N/A,#N/A,,1,,,49,FCA,,,31162815,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,142157-57,36024365,,Material,EA,"SPACER,SHIM:TABULATED,0.01IN THK","SPACER,SHIM: TABULATED,0.01IN THK","SHIM:TABULATED,0.01IN THK",SOLAR TURBINES,142157-57,,,17.16,16.03,1.13,7%,16.03,16.03,17.16,,#N/A,#N/A,,1,,,56,FCA,,,31162815,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,142157-58,36024366,,Material,EA,"SPACER,SHIM:TABULATED,0.03IN THK","SPACER,SHIM: TABULATED,0.03IN THK","SHIM:TABULATED,0.03IN THK",SOLAR TURBINES,142157-58,,,18.08,19.56,-1.48,-8%,19.56,19.56,18.08,,#N/A,#N/A,,1,,,56,FCA,,,31162815,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,142157-59,36024367,,Material,EA,"SPACER,SHIM:TABULATED,0.06IN THK","SPACER,SHIM: TABULATED,0.06IN THK","SHIM:TABULATED,0.06IN THK",SOLAR TURBINES,142157-59,,,21.83,22.43,-0.6,-3%,22.43,22.43,21.83,,#N/A,#N/A,,1,,,56,FCA,,,31162815,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,142157-60,36024387,,Material,EA,"SPACER,SHIM:TABULATED,0.134IN THK","SPACER,SHIM: TABULATED,0.134IN THK","SHIM:TABULATED,0.134IN THK",SOLAR TURBINES,142157-60,,,35.81,36.81,-1,-3%,36.81,36.81,35.81,,#N/A,#N/A,,1,,,49,FCA,,,31162815,,,20190601,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,142157-61,36024388,,Material,EA,"SPACER,SHIM:TABULATED,1/4IN THK","SPACER,SHIM: TABULATED,1/4IN THK","SHIM:TABULATED,1/4IN THK",SOLAR TURBINES,142157-61,,,146.3,120.3,26,18%,120.3,120.3,146.3,,#N/A,#N/A,,1,,,77,FCA,,,31162815,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,1502703-1,11045113,,Material,EA,"THRMOSTAT:VLV,80 TO 150DEG F,65 TO 70PSI","THERMOSTAT: VALVE,80 TO 150DEG F,65 TO 70PSIG,F/ VALVE",THERMOSTAT:VALVE,SOLAR TURBINES,1502703-1,,,15.58,517.27,-501.69,-3220%,517.27,517.27,15.58,,#N/A,#N/A,,1,,,70,FCA,,,41112209,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,154554-10,36024345,,Material,EA,GUARD:FAN,GUARD: FAN,GUARD:FAN,SOLAR TURBINES,154554-10,,,1.45,1.49,-0.04,-3%,1.49,1.49,1.45,,#N/A,#N/A,,1,,,84,FCA,,,23150000,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,154554-13,36024355,,Material,EA,GUARD:FAN,GUARD: FAN,GUARD:FAN,SOLAR TURBINES,154554-13,,,1.36,1.4,-0.04,-3%,1.4,1.4,1.36,,#N/A,#N/A,,1,,,98,FCA,,,23150000,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,154554-9,11046746,,Material,EA,"FAN:VENTILATION,ELECTRICAL RATING: 24VDC","FAN: VENTILATION,ELECTRICAL RATING: 24VDC,SINGLE","FAN:SINGLE/VENTILATING,24VDC",SOLAR TURBINES,154554-9,,,45.47,44.5,0.97,2%,44.5,44.5,45.47,,#N/A,#N/A,,1,,,63,FCA,,,40101604,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
Change,170596-100,36024497,,Material,EA,FILTER:AIR/NATURAL GAS,FILTER: AIR/NATURAL GAS,FILTER:AIR/NATURAL GAS,SOLAR TURBINES,170596-100,,,697.9,706.68,-8.78,-1%,706.68,706.68,697.9,,#N/A,#N/A,,1,,,56,FCA,,,40161500,,,20200401,20220131,1,,,,,,,,,,,4.41E+12,#REF!,#REF!,#REF!,1
